label	U	n_elec	chi_prior	observable	true	Delta	prior_fid	G_emp
U=4 half	4.0	16	2	ZZ up-up r=4	0.08067412582155353	-0.036514726690829724	0.09698054629499579	1.560378271532677
U=4 half	4.0	16	4	ZZ up-up r=4	0.08067412582155353	0.08436341842123177	0.4016670142122413	0.9718475270863054
U=4 half	4.0	16	8	ZZ up-up r=4	0.08067412582155353	0.00459030961803833	0.9531865780662307	1.5552665108985384
U=4 half	4.0	16	16	ZZ up-up r=4	0.08067412582155353	-0.0012481926166183488	0.9951082079663102	1.5759879308545
U=4 half	4.0	16	32	ZZ up-up r=4	0.08067412582155353	0.00047820760840930343	0.9998430857870075	1.5704966616460876
U=4 half	4.0	16	2	ZZ up-up r=8	0.04673352670016363	0.035120362661764375	0.09698054629499579	1.0438581879028634
U=4 half	4.0	16	4	ZZ up-up r=8	0.04673352670016363	0.04674557310448712	0.4016670142122413	0.999947203542434
U=4 half	4.0	16	8	ZZ up-up r=8	0.04673352670016363	0.0185325797036954	0.9531865780662307	1.0767075781029978
U=4 half	4.0	16	16	ZZ up-up r=8	0.04673352670016363	0.00816057869425154	0.9951082079663102	1.076559881102257
U=4 half	4.0	16	32	ZZ up-up r=8	0.04673352670016363	5.0302190026704774e-5	0.9998430857870075	1.0651337655441577
U=4 half	4.0	16	2	DoubleOcc(i0)	0.10035720407424081	0.10035720407424081	0.09698054629499579	1.9327786713386936
U=4 half	4.0	16	4	DoubleOcc(i0)	0.10035720407424081	0.035430930746104594	0.4016670142122413	9.146115931787774
U=4 half	4.0	16	8	DoubleOcc(i0)	0.10035720407424081	-0.0005940302932085362	0.9531865780662307	22.54414454748814
U=4 half	4.0	16	16	DoubleOcc(i0)	0.10035720407424081	0.0003961619074588363	0.9951082079663102	22.419756725526714
U=4 half	4.0	16	32	DoubleOcc(i0)	0.10035720407424081	-2.137388155715181e-6	0.9998430857870075	22.47490185988066
U=4 half	4.0	16	2	SzSz r=1	-0.08155350863980432	0.003923459236456955	0.09698054629499579	9.897216599624185
U=4 half	4.0	16	4	SzSz r=1	-0.08155350863980432	-0.0663380646118544	0.4016670142122413	1.4267076157887566
U=4 half	4.0	16	8	SzSz r=1	-0.08155350863980432	-0.0007871949602261397	0.9531865780662307	12.894745952892219
U=4 half	4.0	16	16	SzSz r=1	-0.08155350863980432	-0.00024209333150040924	0.9951082079663102	12.63958847850782
U=4 half	4.0	16	32	SzSz r=1	-0.08155350863980432	-3.885912572682004e-5	0.9998430857870075	12.623865597775938
U=4 half	4.0	16	2	hop bond(i0)	0.42271505682416793	0.42271505682416793	0.09698054629499579	1.0
U=4 half	4.0	16	4	hop bond(i0)	0.42271505682416793	0.42271505682416793	0.4016670142122413	1.0
U=4 half	4.0	16	8	hop bond(i0)	0.42271505682416793	0.005699982290413519	0.9531865780662307	23.768825348810402
U=4 half	4.0	16	16	hop bond(i0)	0.42271505682416793	0.002180663948509576	0.9951082079663102	23.555680726291556
U=4 half	4.0	16	32	hop bond(i0)	0.42271505682416793	0.00010132984703287162	0.9998430857870075	23.395034355363507
U=8 half	8.0	16	2	ZZ onsite(i0)	-0.8531957886935176	0.14680421130647903	0.3288211043238246	33.21775058117372
U=8 half	8.0	16	4	ZZ onsite(i0)	-0.8531957886935176	0.06758789816411559	0.741452920827044	129.1531524712792
U=8 half	8.0	16	8	ZZ onsite(i0)	-0.8531957886935176	0.002371411068201934	0.9776046175325885	466.72760123213743
U=8 half	8.0	16	16	ZZ onsite(i0)	-0.8531957886935176	0.0001293432006883588	0.9995144199519737	463.87963529824265
U=8 half	8.0	16	32	ZZ onsite(i0)	-0.8531957886935176	7.208884945986149e-6	0.9999772117516498	463.6410674841135
U=8 half	8.0	16	2	ZZ up-up r=1	-0.44648612888921496	-0.06514445026768012	0.3288211043238246	14.766791965946084
U=8 half	8.0	16	4	ZZ up-up r=1	-0.44648612888921496	-0.04772185426844461	0.741452920827044	18.047096518347512
U=8 half	8.0	16	8	ZZ up-up r=1	-0.44648612888921496	-0.0006590007751582916	0.9776046175325885	28.256378856466792
U=8 half	8.0	16	16	ZZ up-up r=1	-0.44648612888921496	-0.0005918570360767261	0.9995144199519737	28.268175225674128
U=8 half	8.0	16	32	ZZ up-up r=1	-0.44648612888921496	-2.6408773474317915e-5	0.9999772117516498	28.36665526496306
U=8 half	8.0	16	2	ZZ up-up r=2	0.20455368996776258	-0.17678798865377232	0.3288211043238246	1.2069340236619104
U=8 half	8.0	16	4	ZZ up-up r=2	0.20455368996776258	-0.001693124534692697	0.741452920827044	2.728539180573463
U=8 half	8.0	16	8	ZZ up-up r=2	0.20455368996776258	0.021758810846282783	0.9776046175325885	2.6713929342145724
U=8 half	8.0	16	16	ZZ up-up r=2	0.20455368996776258	0.0001092805580734102	0.9995144199519737	2.728403509675108
U=8 half	8.0	16	32	ZZ up-up r=2	0.20455368996776258	7.204103416597052e-5	0.9999772117516498	2.7284136402652543
U=8 half	8.0	16	2	ZZ up-up r=4	0.1202320237801309	-0.025333098963375572	0.3288211043238246	2.526529931103857
U=8 half	8.0	16	4	ZZ up-up r=4	0.1202320237801309	0.04053420736412397	0.741452920827044	1.9949268342426563
U=8 half	8.0	16	8	ZZ up-up r=4	0.1202320237801309	0.01702278074248939	0.9776046175325885	2.3160629977643157
U=8 half	8.0	16	16	ZZ up-up r=4	0.1202320237801309	-0.00086781099406949	0.9995144199519737	2.4840183515114145
U=8 half	8.0	16	32	ZZ up-up r=4	0.1202320237801309	0.00025344398818041847	0.9999772117516498	2.4764631423992207
U=8 half	8.0	16	2	ZZ up-up r=8	0.06440247724357767	0.04635804451583183	0.3288211043238246	1.1007324385284436
U=8 half	8.0	16	4	ZZ up-up r=8	0.06440247724357767	0.052610259670706136	0.741452920827044	1.0687043756142809
U=8 half	8.0	16	8	ZZ up-up r=8	0.06440247724357767	0.018089427893558996	0.9776046175325885	1.1838361689464585
U=8 half	8.0	16	16	ZZ up-up r=8	0.06440247724357767	0.003980607897415743	0.9995144199519737	1.177536698331341
U=8 half	8.0	16	32	ZZ up-up r=8	0.06440247724357767	0.00030330391915441013	0.9999772117516498	1.1704332123797838
U=8 half	8.0	16	2	DoubleOcc(i0)	0.0367010526012746	0.0367010526012746	0.3288211043238246	28.083978559987308
U=8 half	8.0	16	4	DoubleOcc(i0)	0.0367010526012746	0.016896975346465115	0.741452920827044	80.36735519209068
U=8 half	8.0	16	8	DoubleOcc(i0)	0.0367010526012746	0.000592853170345603	0.9776046175325885	160.5389081238257
U=8 half	8.0	16	16	DoubleOcc(i0)	0.0367010526012746	3.233587812592753e-5	0.9995144199519737	160.72423523580235
U=8 half	8.0	16	32	DoubleOcc(i0)	0.0367010526012746	1.8021429690762147e-6	0.9999772117516498	160.72416098660466
U=8 half	8.0	16	2	SzSz r=1	-0.1042056554217298	-0.008870235766346088	0.3288211043238246	19.920986565270795
U=8 half	8.0	16	4	SzSz r=1	-0.1042056554217298	-0.004335651668252394	0.741452920827044	22.378419299164555
U=8 half	8.0	16	8	SzSz r=1	-0.1042056554217298	9.783813402659824e-5	0.9776046175325885	26.933403694458814
U=8 half	8.0	16	16	SzSz r=1	-0.1042056554217298	-0.00010767965791574907	0.9995144199519737	26.91413145747532
U=8 half	8.0	16	32	SzSz r=1	-0.1042056554217298	-6.581820671425209e-6	0.9999772117516498	26.950554341016005
U=8 half	8.0	16	2	hop bond(i0)	0.26916215022050227	0.26916215022050227	0.3288211043238246	1.0
U=8 half	8.0	16	4	hop bond(i0)	0.26916215022050227	0.26916215022050227	0.741452920827044	1.0
U=8 half	8.0	16	8	hop bond(i0)	0.26916215022050227	0.014182151660012354	0.9776046175325885	9.504537555771542
