nm	chi_prior	observable	pure	true	Delta	G_emp	G_theo
300	32	DoubleOcc(i0)	false	0.10006829335763973	-1.9826746985585064e-6	109.1063187090153	NaN
300	2	SzSz r=1	false	-0.06980119874823958	0.006096195873611612	12.027030892742038	NaN
300	4	SzSz r=1	false	-0.06980119874823958	-0.06980119867603432	1.015012508921448	NaN
300	8	SzSz r=1	false	-0.06980119874823958	6.087935122151e-5	23.74007944766025	NaN
300	16	SzSz r=1	false	-0.06980119874823958	-8.73779323455337e-5	24.0167979773843	NaN
300	32	SzSz r=1	false	-0.06980119874823958	-8.84396286475464e-6	24.00706505875928	NaN
300	2	hop bond(i0)	false	0.3909624532679199	0.3909624532679199	1.0	NaN
300	4	hop bond(i0)	false	0.3909624532679199	0.133296753963221	7.8474734009221025	NaN
300	8	hop bond(i0)	false	0.3909624532679199	0.0027136918860214965	42.829050384191234	NaN
300	16	hop bond(i0)	false	0.3909624532679199	0.0001433057836214835	42.40420343942513	NaN
300	32	hop bond(i0)	false	0.3909624532679199	1.038959209498369e-5	42.37815925934884	NaN
1000	2	ZZ onsite(i0)	true	-0.5997268274511298	0.40027317254887307	2.298865022654577	2.2393122736029807
1000	4	ZZ onsite(i0)	true	-0.5997268274511298	0.03399473580764467	270.9430243253236	192.10584695799355
1000	8	ZZ onsite(i0)	true	-0.5997268274511298	-0.0024518932464043797	882.2456417371505	496.14857012786837
1000	16	ZZ onsite(i0)	true	-0.5997268274511298	0.0002297289568546912	932.2610251364179	500.25248979705935
1000	32	ZZ onsite(i0)	true	-0.5997268274511298	-8.051430646860425e-6	928.9750486759956	500.28909409508856
1000	2	ZZ up-up r=1	true	-0.343503844785221	-0.03991426629781625	36.49275906872955	46.02264429895294
1000	4	ZZ up-up r=1	true	-0.343503844785221	-0.30286557780477985	1.2762235617620699	1.2832979493765633
1000	8	ZZ up-up r=1	true	-0.343503844785221	-0.001647578875543676	96.21518759428155	119.58864652825407
1000	16	ZZ up-up r=1	true	-0.343503844785221	-0.0004028313240243553	97.6845028903005	119.8961976697878
1000	32	ZZ up-up r=1	true	-0.343503844785221	-1.0932269503549641e-5	98.1065871689239	119.9157909985517
1000	2	ZZ up-up r=2	true	0.12932021266744564	-0.1742693658199591	0.6919524997067746	0.5664603042246628
1000	4	ZZ up-up r=2	true	0.12932021266744564	0.16680826017063827	0.6330807666628199	0.6162867297752426
1000	8	ZZ up-up r=2	true	0.12932021266744564	0.008863675724236575	12.212483579344644	15.049499654209939
1000	16	ZZ up-up r=2	true	0.12932021266744564	0.005094839072439489	13.090346520925719	15.748805604754036
1000	32	ZZ up-up r=2	true	0.12932021266744564	-6.836534965731778e-5	14.053232381344115	16.1182936893711
1000	2	ZZ up-up r=4	true	0.08748887399599793	0.0006181557299865248	6.009613783671369	7.853617063369327
1000	4	ZZ up-up r=4	true	0.08748887399599793	0.08906398322193063	0.9671288330685867	0.9692676833451447
1000	8	ZZ up-up r=4	true	0.08748887399599793	0.00838348137963972	6.341435512405682	7.391001412285452
1000	16	ZZ up-up r=4	true	0.08748887399599793	0.008570350207465896	6.341765535183976	7.371321665091607
1000	32	ZZ up-up r=4	true	0.08748887399599793	3.461405295022979e-5	5.962517361041372	7.856296760207751
1000	2	DoubleOcc(i0)	false	0.10006829335763973	0.10006829335763973	2.326065274307168	NaN
1000	4	DoubleOcc(i0)	false	0.10006829335763973	0.008497890542016662	210.44645115233016	NaN
1000	8	DoubleOcc(i0)	false	0.10006829335763973	-0.0006129284088868814	394.44207793032933	NaN
1000	16	DoubleOcc(i0)	false	0.10006829335763973	5.699605882442116e-5	408.0146173107275	NaN
1000	32	DoubleOcc(i0)	false	0.10006829335763973	-1.9826746985585064e-6	407.0185353024395	NaN
1000	2	SzSz r=1	false	-0.06980119874823958	0.006096195873611612	34.03249501715166	NaN
1000	4	SzSz r=1	false	-0.06980119874823958	-0.06980119867603432	1.0552264680331507	NaN
1000	8	SzSz r=1	false	-0.06980119874823958	6.087935122151e-5	115.38592315643172	NaN
1000	16	SzSz r=1	false	-0.06980119874823958	-8.73779323455337e-5	114.7709773998714	NaN
1000	32	SzSz r=1	false	-0.06980119874823958	-8.84396286475464e-6	115.26783204408648	NaN
1000	2	hop bond(i0)	false	0.3909624532679199	0.3909624532679199	1.0	NaN
