L	bc	chi_prior	observable	true	Delta	prior_fid	G	G_max	S_center
32	PBC	16	DoubleOcc	0.10030280714297102	0.005753866598428081	0.633755695406946	25.998055757876955	26.437659639963474	2.2788447660247044
32	PBC	32	DoubleOcc	0.10030280714297102	0.00073527584265487	0.8255151076843539	26.48908260986752	26.437659639963474	2.2788447660247044
32	PBC	2	ZZ onsite	-0.5987888785059414	0.401211121494059	0.0029154563861998645	2.2588420526923474	47.54146841592597	2.2788447660247044
32	PBC	4	ZZ onsite	-0.5987888785059414	0.18981391159258942	0.06364034082384058	8.868974343107219	47.54146841592597	2.2788447660247044
32	PBC	8	ZZ onsite	-0.5987888785059414	0.03497546588420364	0.3965458087468787	42.755461674480955	47.54146841592597	2.2788447660247044
32	PBC	16	ZZ onsite	-0.5987888785059414	0.023012897003245048	0.633755695406946	45.77897187546279	47.54146841592597	2.2788447660247044
32	PBC	32	ZZ onsite	-0.5987888785059414	0.002941048567718596	0.8255151076843539	47.66624054628135	47.54146841592597	2.2788447660247044
32	PBC	2	ZZ up-up r=1	-0.5154420155536814	-0.10921179752915278	0.0029154563861998645	12.7751833436423	31.507056879912845	2.2788447660247044
32	PBC	4	ZZ up-up r=1	-0.5154420155536814	-0.14529346546636746	0.06364034082384058	8.897181617198815	31.507056879912845	2.2788447660247044
32	PBC	8	ZZ up-up r=1	-0.5154420155536814	-0.003313741332637954	0.3965458087468787	31.351539913379	31.507056879912845	2.2788447660247044
32	PBC	16	ZZ up-up r=1	-0.5154420155536814	-0.02940010935912879	0.633755695406946	27.87241439883052	31.507056879912845	2.2788447660247044
32	PBC	32	ZZ up-up r=1	-0.5154420155536814	-0.008498167467713369	0.8255151076843539	30.959564699832896	31.507056879912845	2.2788447660247044
32	PBC	2	SzSz r=1	-0.10714462546066816	-0.005587070954536005	0.0029154563861998645	17.460938572048416	25.328202843181305	2.2788447660247044
