set	observable	true	err_shadow	err_crm	err_derand	bias_derand
SetB(random)	rnd115	-1.429664627367039e-9	0.043175165275326076	0.04317516513573696	0.03120094310393057	0.0038666680963312956
SetB(random)	rnd116	0.0	0.04625346659888091	0.04625346659888091	0.037224868408838735	0.010476190476190476
SetB(random)	rnd117	0.0	0.0636782212539653	0.0636782212539653	0.06416772402970188	0.015555555555555552
SetB(random)	rnd118	0.0	0.03621535585908275	0.03621535585908275	0.050418752212967786	0.006133333333333334
SetB(random)	rnd119	0.0	0.05820471363777312	0.05820471363777312	0.05782479482498597	0.004500000000000006
SetB(random)	rnd120	0.0	0.06216001597656564	0.06216001597656564	0.05618524369614678	0.0053333333333333306
SetB(random)	rnd121	0.03854418530998863	0.08214922670528226	0.0754217649649596	0.046474563553316604	0.0037891480233447072
SetB(random)	rnd122	0.0	0.08428311893808292	0.08428311893808292	0.04096221976743768	0.0016000000000000018
SetB(random)	rnd123	0.0	0.036214738855123996	0.036214738855123996	0.032945810395119644	0.008518518518518517
SetB(random)	rnd124	-0.0826457758624047	0.058957916025491997	0.04915268811992805	0.03156467999185966	0.0017291091957380433
SetB(random)	rnd125	0.0	0.05766668553584168	0.05766668553584168	0.03461593694639629	0.0017777777777777774
SetB(random)	rnd126	0.0	0.07189036480450028	0.07189036480450028	0.05086069548116292	0.015499999999999995
SetB(random)	rnd127	0.0	0.03988766986045376	0.03988766986045376	0.047933510130022186	0.004857142857142856
SetB(random)	rnd128	0.0	0.05945809071711045	0.05945809071711045	0.03557392963937536	0.00011111111111111044
SetB(random)	rnd129	0.0	0.03639937096841855	0.03639937096841855	0.035710541675671635	0.0020000000000000005
SetB(random)	rnd130	0.0	0.05763567860514752	0.05763567860514752	0.038353068383196284	0.0020000000000000005
SetB(random)	rnd131	0.0	0.05947161826712251	0.05947161826712251	0.053699533021650155	0.011
SetB(random)	rnd132	0.0	0.03847931464010779	0.03847931464010779	0.035000923633133084	0.0032500000000000003
SetB(random)	rnd133	0.0	0.035809357282217694	0.035809357282217694	0.02961789708244336	0.0007500000000000004
SetB(random)	rnd134	0.0	0.06967426477842294	0.06967426477842294	0.04393732474499473	0.006166666666666668
SetB(random)	rnd135	0.0	0.06377920102007095	0.06377920102007095	0.05358525273193015	0.0009999999999999998
SetB(random)	rnd136	1.5726175822167029e-9	0.040728619100002666	0.04072861921886846	0.035800196706170524	0.006871793299177291
SetB(random)	rnd137	0.0	0.04715420338158331	0.04715420338158331	0.03760387911024514	0.008500000000000004
SetB(random)	rnd138	0.0	0.05236859811915454	0.05236859811915454	0.03351368832635809	0.010444444444444444
SetB(random)	rnd139	0.0	0.04879066049690386	0.04879066049690386	0.05360133812019866	0.012666666666666666
SetB(random)	rnd140	0.0	0.05560725331006425	0.05560725331006425	0.054351601188227544	0.005200000000000001
SetB(random)	rnd141	0.0	0.04435289206447262	0.04435289206447262	0.06660171548651826	0.010933333333333335
SetB(random)	rnd142	0.0	0.08976756191639486	0.08976756191639486	0.04667599250002156	0.0008000000000000016
SetB(random)	rnd143	0.0	0.03827533643627896	0.03827533643627896	0.039874643930797905	0.0042222222222222236
SetB(random)	rnd144	0.0	0.08569887940360991	0.08569887940360991	0.0572524656900138	0.0015000000000000005
SetB(random)	rnd145	0.0	0.08202183056757004	0.08202183056757004	0.0378718684031747	0.011777777777777778
SetB(random)	rnd146	0.0	0.045621936647278295	0.045621936647278295	0.04842186961683504	0.007238095238095238
SetB(random)	rnd147	0.0	0.0540846233485879	0.0540846233485879	0.029541972272227386	0.0021904761904761897
SetB(random)	rnd148	0.0	0.04197735350038816	0.04197735350038816	0.031091400433689933	0.004
SetB(random)	rnd149	-2.4337997999287826e-9	0.03439512395273692	0.034395124285853215	0.04877673214632191	0.005714283280485916
SetB(random)	rnd150	0.0	0.053932923857900245	0.053932923857900245	0.05460925870815219	0.011555555555555557
