U	nhole	site	x	y	observable	prior	true	Delta	relerr	G	dens	Sz
8.0	4	6	2	2	n	chi32	0.8800487924070733	-0.004228368603926613	0.00480469792176108	3.0203385203221123	0.8800487924070733	-0.037082282683128236
8.0	4	6	2	2	n	exact	0.8800487924070733	0.0	0.0	3.034991924108201	0.8800487924070733	-0.037082282683128236
8.0	4	6	2	2	n	UHF	0.8800487924070733	-0.11966391366797391	0.13597418086407922	0.032783226856740066	0.8800487924070733	-0.037082282683128236
8.0	4	6	2	2	Sz	chi8	-0.037082282683128236	0.014618951547933474	0.39423008752869554	2.1643378260515562	0.8800487924070733	-0.037082282683128236
8.0	4	6	2	2	Sz	chi32	-0.037082282683128236	2.3901590863399658e-5	0.0006445555433477791	2.2789714251842526	0.8800487924070733	-0.037082282683128236
8.0	4	6	2	2	Sz	exact	-0.037082282683128236	0.0	0.0	2.273472529573047	0.8800487924070733	-0.037082282683128236
8.0	4	6	2	2	Sz	UHF	-0.037082282683128236	-0.4837269824181918	13.044692705454153	0.03718279325207213	0.8800487924070733	-0.037082282683128236
8.0	4	6	2	2	DoubleOcc	chi8	0.0438143712051971	0.020511394635782526	0.4681430788934737	32.414201972517176	0.8800487924070733	-0.037082282683128236
8.0	4	6	2	2	DoubleOcc	chi32	0.0438143712051971	0.006651277100046427	0.1518058325862149	35.55559483941269	0.8800487924070733	-0.037082282683128236
8.0	4	6	2	2	DoubleOcc	exact	0.0438143712051971	0.0	0.0	37.73787601183729	0.8800487924070733	-0.037082282683128236
8.0	4	6	2	2	DoubleOcc	UHF	0.0438143712051971	-0.006550514665351198	0.14950607495136664	0.7438025489017976	0.8800487924070733	-0.037082282683128236
8.0	4	6	2	2	ZZ onsite	chi8	-0.5848400999933581	0.03191985266032915	0.05457876889886938	41.47877866364976	0.8800487924070733	-0.037082282683128236
8.0	4	6	2	2	ZZ onsite	chi32	-0.5848400999933581	0.03506184560803971	0.05995116546973763	40.67176958591395	0.8800487924070733	-0.037082282683128236
8.0	4	6	2	2	ZZ onsite	exact	-0.5848400999933581	0.0	0.0	44.68180099988905	0.8800487924070733	-0.037082282683128236
8.0	4	6	2	2	ZZ onsite	UHF	-0.5848400999933581	0.21312576867454303	0.3644171606511993	7.043212563323221	0.8800487924070733	-0.037082282683128236
8.0	4	6	2	2	ZZ up-up nb	chi8	-0.1554516267759824	-0.07902946474941817	0.5083862188416055	2.0291988185200713	0.8800487924070733	-0.037082282683128236
8.0	4	6	2	2	ZZ up-up nb	chi32	-0.1554516267759824	0.010161273398141851	0.0653661438537727	3.047574898990482	0.8800487924070733	-0.037082282683128236
8.0	4	6	2	2	ZZ up-up nb	exact	-0.1554516267759824	0.0	0.0	3.0896374003698055	0.8800487924070733	-0.037082282683128236
8.0	4	6	2	2	ZZ up-up nb	UHF	-0.1554516267759824	0.6882478164814669	4.427408260405562	0.07079409395416578	0.8800487924070733	-0.037082282683128236
8.0	4	6	2	2	SzSz nb	chi8	-0.05229416599546856	-0.01127934491479058	0.2156903107656018	3.6566406955280484	0.8800487924070733	-0.037082282683128236
8.0	4	6	2	2	SzSz nb	chi32	-0.05229416599546856	0.004769164943420563	0.09119879536531524	5.219362015964346	0.8800487924070733	-0.037082282683128236
8.0	4	6	2	2	SzSz nb	exact	-0.05229416599546856	0.0	0.0	5.503719983172012	0.8800487924070733	-0.037082282683128236
8.0	4	6	2	2	SzSz nb	UHF	-0.05229416599546856	0.15291401862964904	2.9241123884239686	0.13381310402593008	0.8800487924070733	-0.037082282683128236
8.0	4	7	2	3	n	chi8	0.876640682510669	-0.0007467141968388047	0.0008517904903754189	1.9068856732730093	0.876640682510669	-0.03646035107959044
8.0	4	7	2	3	n	chi32	0.876640682510669	-0.0011347883987009588	0.0012944738036238105	2.637226890675866	0.876640682510669	-0.03646035107959044
