L	doping	site	chi_prior	observable	pure	true	Delta	prior_fid	G_emp	G_lo	G_hi	G_max	G_theo	S_bond
128	0.0	89	8	DoubleOcc	false	0.10026321226326992	0.0004551771912335856	0.3183756021105906	27.26026006016332	25.603691494456054	28.972197001654614	27.281607772242825	NaN	1.4679455002257278
128	0.0	89	16	DoubleOcc	false	0.10026321226326992	0.00043136932093584823	0.816004607335271	27.26167717896579	25.602356146874353	28.972975581462187	27.281607772242825	NaN	1.4679455002257278
128	0.0	89	32	DoubleOcc	false	0.10026321226326992	0.00018481548494780897	0.9628431765118518	27.274530987089115	25.615377697506922	28.980535275892535	27.281607772242825	NaN	1.4679455002257278
128	0.0	89	2	ZZ onsite	true	-0.598947148346953	0.4010528516530524	4.672955945625278e-10	2.1285693535458496	2.077647671902187	2.177102443173321	50.332678768964435	2.177538578876262	1.4679455002257278
128	0.0	89	4	ZZ onsite	true	-0.598947148346953	0.17641705410054076	0.00013463626946936353	9.21867615143515	8.889570284992065	9.542600757243658	50.332678768964435	9.545613594698578	1.4679455002257278
128	0.0	89	8	ZZ onsite	true	-0.598947148346953	0.001820969255422633	0.3183756021105906	50.23748650082031	47.429357399802626	53.437956428756074	50.332678768964435	50.70329446856361	1.4679455002257278
128	0.0	89	16	ZZ onsite	true	-0.598947148346953	0.0017254310421583874	0.816004607335271	50.24361967305256	47.434807269622844	53.4414124674857	50.332678768964435	50.70567477912424	1.4679455002257278
128	0.0	89	32	ZZ onsite	true	-0.598947148346953	0.0007391692121571092	0.9628431765118518	50.299574514223174	47.48369209390755	53.47894617858341	50.332678768964435	50.72275817287104	1.4679455002257278
128	0.0	89	2	ZZ up-up r=1	true	-0.5530562210135016	0.44694377898648774	4.672955945625278e-10	1.5562338037530303	1.521890232656067	1.5969551946015357	42.62407547169304	1.511218492815015	1.4679455002257278
128	0.0	89	4	ZZ up-up r=1	true	-0.5530562210135016	0.14475898941181886	0.00013463626946936353	11.607693904535562	11.120854362467718	12.190115715859022	42.62407547169304	10.905259609422965	1.4679455002257278
128	0.0	89	8	ZZ up-up r=1	true	-0.5530562210135016	-0.010537436681404055	0.3183756021105906	41.573324102889465	39.015599996108136	44.25506441588975	42.62407547169304	39.60614360079477	1.4679455002257278
128	0.0	89	16	ZZ up-up r=1	true	-0.5530562210135016	-0.0028638029917440466	0.816004607335271	42.45774615417649	39.781342591874335	45.24626232968194	42.62407547169304	40.127170469259305	1.4679455002257278
128	0.0	89	32	ZZ up-up r=1	true	-0.5530562210135016	0.00022469718800621763	0.9628431765118518	42.63320615521365	39.906370955660066	45.38889610551667	42.62407547169304	40.169054412751116	1.4679455002257278
128	0.0	89	2	SzSz r=1	false	-0.11531303132816581	0.13468696867183153	4.672955945625278e-10	0.7260038395558838	0.7093172307634271	0.7417149847007118	30.609775410277514	NaN	1.4679455002257278
128	0.0	89	4	SzSz r=1	false	-0.11531303132816581	0.031061296584100978	0.00013463626946936353	9.509081908928463	9.143521624592427	9.93873241051926	30.609775410277514	NaN	1.4679455002257278
128	0.0	89	8	SzSz r=1	false	-0.11531303132816581	-0.0037115461396177857	0.3183756021105906	28.131814855129644	26.630695908037737	29.85325821310571	30.609775410277514	NaN	1.4679455002257278
128	0.0	89	16	SzSz r=1	false	-0.11531303132816581	-0.00019834509833509262	0.816004607335271	30.505069017712177	28.768393724388407	32.44076237696623	30.609775410277514	NaN	1.4679455002257278
128	0.0	89	32	SzSz r=1	false	-0.11531303132816581	0.00013079696752824055	0.9628431765118518	30.588944255397564	28.834738705202614	32.54819820745495	30.609775410277514	NaN	1.4679455002257278
128	0.0	89	2	hop up r=1	false	0.5089697007414438	0.5089697007414438	4.672955945625278e-10	1.0	1.0	1.0	34.920900543882475	NaN	1.4679455002257278
128	0.0	89	4	hop up r=1	false	0.5089697007414438	-0.026561569025382092	0.00013463626946936353	32.099235096060085	30.079618548586268	34.302781283505354	34.920900543882475	NaN	1.4679455002257278
128	0.0	89	8	hop up r=1	false	0.5089697007414438	0.009615507560004122	0.3183756021105906	34.451722087488186	32.3561179119323	36.64104870870947	34.920900543882475	NaN	1.4679455002257278
128	0.0	89	16	hop up r=1	false	0.5089697007414438	0.0018808686905282812	0.816004607335271	34.894258459273	32.71498441814539	37.18178668758922	34.920900543882475	NaN	1.4679455002257278
128	0.0	89	32	hop up r=1	false	0.5089697007414438	0.0010496750948836286	0.9628431765118518	34.91000415691344	32.70648345492433	37.2200933178336	34.920900543882475	NaN	1.4679455002257278
128	0.0	90	2	n	false	1.000000000475037	4.750309035017608e-10	4.672955945625278e-10	1.0000201852803186	1.0000077327830068	1.0000334521992416	1.000007146252199	NaN	1.4655547227254446
128	0.0	90	4	n	false	1.000000000475037	1.8285782110716298e-8	0.00013463626946936353	1.0000152763283034	1.0000058649080938	1.0000253022549503	1.000007146252199	NaN	1.4655547227254446
128	0.0	90	8	n	false	1.000000000475037	1.4190507813260922e-7	0.3183756021105906	1.0000097539392176	1.0000037375181625	1.0000161054341572	1.000007146252199	NaN	1.4655547227254446
128	0.0	90	16	n	false	1.000000000475037	-1.0404767269989179e-8	0.816004607335271	1.0000072028040736	1.0000027623080954	1.0000119355989519	1.000007146252199	NaN	1.4655547227254446
128	0.0	90	32	n	false	1.000000000475037	-4.1429860653252604e-8	0.9628431765118518	1.0000069038784325	1.0000026494392278	1.0000114546182344	1.000007146252199	NaN	1.4655547227254446
128	0.0	90	2	Sz	false	-3.980166603457375e-6	7.277105089267127e-6	4.672955945625278e-10	0.999990449400816	0.9999804774393538	1.0000003705615461	0.9999966299611013	NaN	1.4655547227254446
128	0.0	90	4	Sz	false	-3.980166603457375e-6	4.535079870911923e-6	0.00013463626946936353	0.9999927758665664	0.9999852252293281	1.0000002713300202	0.9999966299611013	NaN	1.4655547227254446
128	0.0	90	8	Sz	false	-3.980166603457375e-6	1.453324144331386e-6	0.3183756021105906	0.999995356546193	0.9999905263696134	1.000000114784486	0.9999966299611013	NaN	1.4655547227254446
128	0.0	90	16	Sz	false	-3.980166603457375e-6	3.155574091265323e-8	0.816004607335271	0.9999966062213146	0.9999930493350154	1.000000140617587	0.9999966299611013	NaN	1.4655547227254446
128	0.0	90	32	Sz	false	-3.980166603457375e-6	-1.3494452610549046e-7	0.9628431765118518	0.9999967563214638	0.9999933185547722	1.000000136588552	0.9999966299611013	NaN	1.4655547227254446
128	0.0	90	2	DoubleOcc	false	0.10022129825073917	0.10022129825073917	4.672955945625278e-10	2.097693522009834	2.0369328040914283	2.1687660341360613	25.46014324381981	NaN	1.4655547227254446
128	0.0	90	4	DoubleOcc	false	0.10022129825073917	0.044062357767985616	0.00013463626946936353	8.006010082655466	7.638591827511858	8.431977951023367	25.46014324381981	NaN	1.4655547227254446
128	0.0	90	8	DoubleOcc	false	0.10022129825073917	0.0005347249766107787	0.3183756021105906	25.437111092570703	23.902236666037933	27.346631981657804	25.46014324381981	NaN	1.4655547227254446
128	0.0	90	16	DoubleOcc	false	0.10022129825073917	0.00047009555858473773	0.816004607335271	25.44070310576059	23.9049606495244	27.347672060337352	25.46014324381981	NaN	1.4655547227254446
128	0.0	90	32	DoubleOcc	false	0.10022129825073917	0.00013351401323297152	0.9628431765118518	25.45586995387946	23.912401534455004	27.348988384059467	25.46014324381981	NaN	1.4655547227254446
128	0.0	90	2	ZZ onsite	true	-0.5991148079471056	0.4008851920529004	4.672955945625278e-10	2.1429860298689865	2.1001797686893013	2.192933597522585	47.00306600729474	2.1804941570266556	1.4655547227254446
128	0.0	90	4	ZZ onsite	true	-0.5991148079471056	0.17624939450038868	0.00013463626946936353	9.223667950708167	8.90961445543218	9.586906868779465	47.00306600729474	9.566111924345192	1.4655547227254446
128	0.0	90	8	ZZ onsite	true	-0.5991148079471056	0.0021386160963030587	0.3183756021105906	46.92493960533032	44.02564225895529	50.05007844782402	47.00306600729474	50.7378556810993	1.4655547227254446
128	0.0	90	16	ZZ onsite	true	-0.5991148079471056	0.0018804030438812624	0.816004607335271	46.937294375058805	44.03313520689099	50.06665358197221	47.00306600729474	50.745153033451636	1.4655547227254446
128	0.0	90	32	ZZ onsite	true	-0.5991148079471056	0.0005341389126523044	0.9628431765118518	46.988721654594734	44.10566134841332	50.11473634847455	47.00306600729474	50.7680243010712	1.4655547227254446
128	0.0	90	2	ZZ up-up r=1	true	-0.47477078931525396	-0.09035956491406039	4.672955945625278e-10	14.032851880770409	13.52720745431223	14.572749814501073	25.75709896684018	13.870561597055259	1.4655547227254446
128	0.0	90	4	ZZ up-up r=1	true	-0.47477078931525396	-0.14777453554000236	0.00013463626946936353	7.774086626519406	7.594411027721061	7.953368281542752	25.75709896684018	7.663179034941344	1.4655547227254446
128	0.0	90	8	ZZ up-up r=1	true	-0.47477078931525396	-0.01948342994002511	0.3183756021105906	25.103334604067214	23.74728396349694	26.73343575949711	25.75709896684018	25.745254340831274	1.4655547227254446
128	0.0	90	16	ZZ up-up r=1	true	-0.47477078931525396	-0.010343185325375648	0.816004607335271	25.673016322685303	24.2641837677776	27.420390224979354	25.75709896684018	26.540925842526853	1.4655547227254446
128	0.0	90	32	ZZ up-up r=1	true	-0.47477078931525396	-0.0018301564585508912	0.9628431765118518	25.78699092180538	24.343725428781553	27.569628280369905	25.75709896684018	26.85643877945935	1.4655547227254446
128	0.0	90	2	SzSz r=1	false	-0.09828567420028124	-0.002182868099982846	4.672955945625278e-10	15.642222072096303	14.841599900188925	16.54084737593223	19.4429448802703	NaN	1.4655547227254446
128	0.0	90	4	SzSz r=1	false	-0.09828567420028124	-0.015327478411656381	0.00013463626946936353	10.22512251924815	9.802865812837243	10.676602768151362	19.4429448802703	NaN	1.4655547227254446
128	0.0	90	8	SzSz r=1	false	-0.09828567420028124	-0.004885758669232687	0.3183756021105906	18.284799035166092	17.323761435673752	19.306554317038113	19.4429448802703	NaN	1.4655547227254446
128	0.0	90	16	SzSz r=1	false	-0.09828567420028124	-0.001746049929970725	0.816004607335271	19.256210353317073	18.144247744930357	20.394623326504785	19.4429448802703	NaN	1.4655547227254446
128	0.0	90	32	SzSz r=1	false	-0.09828567420028124	-0.00039043905434567316	0.9628431765118518	19.420351694623022	18.28519643469859	20.58607015374068	19.4429448802703	NaN	1.4655547227254446
128	0.0	90	2	hop up r=1	false	0.4655193339254586	0.4655193339254586	4.672955945625278e-10	1.0	1.0	1.0	24.585187057660306	NaN	1.4655547227254446
128	0.0	90	4	hop up r=1	false	0.4655193339254586	0.4655193339254586	0.00013463626946936353	1.0	1.0	1.0	24.585187057660306	NaN	1.4655547227254446
128	0.0	90	8	hop up r=1	false	0.4655193339254586	0.017485155259883478	0.3183756021105906	23.396296058894897	22.04519936683809	24.861722449879924	24.585187057660306	NaN	1.4655547227254446
128	0.0	90	16	hop up r=1	false	0.4655193339254586	0.005963233218181263	0.816004607335271	24.341613910340214	22.879504027048636	25.92528380836807	24.585187057660306	NaN	1.4655547227254446
128	0.0	90	32	hop up r=1	false	0.4655193339254586	0.0010399781999101965	0.9628431765118518	24.555736485088534	23.04720981617329	26.151976949735534	24.585187057660306	NaN	1.4655547227254446
128	0.0	91	2	n	false	0.9999999984287247	-1.57128088318359e-9	4.672955945625278e-10	1.0000053902814563	0.9999913226377752	1.0000197493868854	1.0000014219810995	NaN	1.4622291249279213
128	0.0	91	4	n	false	0.9999999984287247	-3.6706284234355735e-8	0.00013463626946936353	1.0000039577763884	0.999993546438039	1.0000145866141952	1.0000014219810995	NaN	1.4622291249279213
128	0.0	91	8	n	false	0.9999999984287247	-1.2994129594545711e-7	0.3183756021105906	1.0000023503383235	0.9999958428005388	1.000008937365323	1.0000014219810995	NaN	1.4622291249279213
128	0.0	91	16	n	false	0.9999999984287247	1.2909263769067536e-8	0.816004607335271	1.0000016792954538	0.9999973642110115	1.0000060831327036	1.0000014219810995	NaN	1.4622291249279213
128	0.0	91	32	n	false	0.9999999984287247	4.928879093757388e-8	0.9628431765118518	1.0000015844291539	0.9999976238224147	1.000005619744393	1.0000014219810995	NaN	1.4622291249279213
128	0.0	91	2	Sz	false	2.9211465913808743e-6	-8.234510022028907e-6	4.672955945625278e-10	1.0000004724747227	0.9999899173398226	1.0000113162168172	1.000000131093519	NaN	1.4622291249279213
128	0.0	91	4	Sz	false	2.9211465913808743e-6	-5.342612659546553e-6	0.00013463626946936353	1.0000003111952167	0.9999924885998657	1.0000083358528236	1.000000131093519	NaN	1.4622291249279213
128	0.0	91	8	Sz	false	2.9211465913808743e-6	-2.2505928743837833e-6	0.3183756021105906	1.0000000646264566	0.9999952245377173	1.0000050893562422	1.000000131093519	NaN	1.4622291249279213
128	0.0	91	16	Sz	false	2.9211465913808743e-6	-4.975518628214104e-7	0.816004607335271	1.0000001689307767	0.9999969350490947	1.0000034911417544	1.000000131093519	NaN	1.4622291249279213
