geometry	rho	U	site	observable	prior	true	Delta	relerr	G	G_max	F_supp	infid_supp	D_supp	nsupp
cylinder	ED	8.0	1	ZZ up-up nb	exact	-0.49466751759057626	2.187977717338363e-7	4.4231279385304144e-7	30.332448288069422	30.332448288069422	0.9999999999999836	1.6431300764452317e-14	1.0939888597794045e-7	2
cylinder	ED	8.0	1	ZZ up-up nb	UHF	-0.49466751759057626	0.39699279517637553	0.8025447013582897	1.5071218070110393	30.332448288069422	0.5527317199202864	0.44726828007971364	0.5692696389910031	2
cylinder	ED	8.0	1	ZZ up-up nb	UHFsym	-0.49466751759057626	-0.16418757398616685	0.3319150098755034	7.2294770134951545	30.332448288069422	0.9917860642463937	0.008213935753606294	0.08250460717548652	2
cylinder	ED	8.0	1	SzSz nb	chi4	-0.11684564818716607	0.03730958945212094	0.31930662400329685	7.5433518834313835	27.880016711603417	0.8717842064315086	0.12821579356849144	0.16437270435162626	4
cylinder	ED	8.0	1	SzSz nb	chi8	-0.11684564818716607	0.015735194757974066	0.13466650236531758	18.924591263353502	27.880016711603417	0.9333046142266811	0.0666953857733189	0.09023155652217758	4
cylinder	ED	8.0	1	SzSz nb	chi32	-0.11684564818716607	0.004599233793646823	0.03936161821174258	26.80177730332753	27.880016711603417	0.9992743550166532	0.0007256449833468182	0.016186272432264406	4
cylinder	ED	8.0	1	SzSz nb	chi128	-0.11684564818716607	0.0004627981663848091	0.0039607651082005915	27.8808921285199	27.880016711603417	0.9999937167811236	6.2832188764128105e-6	0.001710116145767356	4
cylinder	ED	8.0	1	SzSz nb	exact	-0.11684564818716607	4.7916755716026493e-8	4.100859249740506e-7	27.880016711603417	27.880016711603417	0.9999999999996874	3.126388037344441e-13	3.377554426286446e-7	4
cylinder	ED	8.0	1	SzSz nb	UHF	-0.11684564818716607	0.09978185760387813	0.8539629772436645	1.3644475403711196	27.880016711603417	0.4486271143018005	0.5513728856981994	0.6445555026632819	4
cylinder	ED	8.0	1	SzSz nb	UHFsym	-0.11684564818716607	-0.04051323468675666	0.34672437797479305	6.555509245299232	27.880016711603417	0.9801028544240836	0.019897145575916375	0.1334241528112325	4
