geometry	U	site	x	y	observable	prior	true	Delta	relerr	G	G_max	prior_fid	S_center
torus	8.0	6	2	2	SzSz nb	chi8	-0.14170808413567285	0.030147902490091222	0.21274652518219989	12.975648848382704	44.480697670932166	0.5879253494917182	1.5690815497844373
torus	8.0	6	2	2	SzSz nb	chi32	-0.14170808413567285	0.008906209346274535	0.06284898564959522	34.07256229436346	44.480697670932166	0.8676193558453152	1.5690815497844373
torus	8.0	6	2	2	SzSz nb	exact	-0.14170808413567285	0.0	0.0	44.480697670932166	44.480697670932166	1.0000000000000027	1.5690815497844373
torus	8.0	6	2	2	SzSz nb	UHF	-0.14170808413567285	0.0642589654141866	0.45346012407213393	3.9499227328839237	44.480697670932166	1.0000000000000027	1.5690815497844373
torus	8.0	6	2	2	SzSz nb	UHFsym	-0.14170808413567285	-0.06921319288849681	0.4884209204482036	4.108131134990806	44.480697670932166	1.0000000000000027	1.5690815497844373
torus	8.0	7	2	3	n	chi4	0.9999214401603886	0.025662098378179676	0.025664114546902247	12.5231342956651	52.10169148905468	0.3829123702363809	1.5690815497844373
torus	8.0	7	2	3	n	chi8	0.9999214401603886	-0.010690498048569808	0.010691337958365047	26.893445263959556	52.10169148905468	0.5879253494917182	1.5690815497844373
torus	8.0	7	2	3	n	chi32	0.9999214401603886	-0.0006097660330306454	0.000609813939915958	47.22286208558635	52.10169148905468	0.8676193558453152	1.5690815497844373
torus	8.0	7	2	3	n	exact	0.9999214401603886	0.0	0.0	52.10169148905468	52.10169148905468	1.0000000000000027	1.5690815497844373
torus	8.0	7	2	3	n	UHF	0.9999214401603886	-7.855983961135848e-5	7.856601174464004e-5	7.491739571435699	52.10169148905468	1.0000000000000027	1.5690815497844373
torus	8.0	7	2	3	n	UHFsym	0.9999214401603886	-7.855983961135848e-5	7.856601174464004e-5	0.9999999999999994	52.10169148905468	1.0000000000000027	1.5690815497844373
torus	8.0	7	2	3	Sz	chi4	0.33078788948126636	-0.08531315254410288	0.25790893577721036	14.749746269138498	38.51057887488566	0.3829123702363809	1.5690815497844373
torus	8.0	7	2	3	Sz	chi8	0.33078788948126636	-0.04679328859962595	0.1414601020400295	27.451834642538646	38.51057887488566	0.5879253494917182	1.5690815497844373
torus	8.0	7	2	3	Sz	chi32	0.33078788948126636	-0.01789751078609192	0.0541057014335028	39.64255240369278	38.51057887488566	0.8676193558453152	1.5690815497844373
torus	8.0	7	2	3	Sz	exact	0.33078788948126636	0.0	0.0	38.51057887488566	38.51057887488566	1.0000000000000027	1.5690815497844373
torus	8.0	7	2	3	Sz	UHF	0.33078788948126636	-0.11663115454221407	0.35258592666470423	8.584409451424726	38.51057887488566	1.0000000000000027	1.5690815497844373
torus	8.0	7	2	3	Sz	UHFsym	0.33078788948126636	0.33078788948126636	1.0	0.9999999999999998	38.51057887488566	1.0000000000000027	1.5690815497844373
torus	8.0	7	2	3	DoubleOcc	chi4	0.0504452815512533	0.036049702555502855	0.7146298215993843	26.79624468956096	84.43865206272785	0.3829123702363809	1.5690815497844373
torus	8.0	7	2	3	DoubleOcc	chi8	0.0504452815512533	0.010130539706099811	0.20082234442099411	51.0839780087704	84.43865206272785	0.5879253494917182	1.5690815497844373
torus	8.0	7	2	3	DoubleOcc	chi32	0.0504452815512533	0.007277562855977082	0.14426647314046506	74.58285255656017	84.43865206272785	0.8676193558453152	1.5690815497844373
torus	8.0	7	2	3	DoubleOcc	exact	0.0504452815512533	0.0	0.0	84.43865206272785	84.43865206272785	1.0000000000000027	1.5690815497844373
torus	8.0	7	2	3	DoubleOcc	UHF	0.0504452815512533	0.000629082506138412	0.012470591635002632	27.071502111628835	84.43865206272785	1.0000000000000027	1.5690815497844373
torus	8.0	7	2	3	DoubleOcc	UHFsym	0.0504452815512533	0.0006290825061386618	0.012470591635007583	4.375981695080442	84.43865206272785	1.0000000000000027	1.5690815497844373
torus	8.0	7	2	3	ZZ onsite	chi4	-0.7980617541157629	0.0928746134656524	0.11637522157487135	51.48727603181856	108.3039600646694	0.3829123702363809	1.5690815497844373
torus	8.0	7	2	3	ZZ onsite	chi8	-0.7980617541157629	0.06190315492153964	0.0775668732429449	76.23776627405704	108.3039600646694	0.5879253494917182	1.5690815497844373
torus	8.0	7	2	3	ZZ onsite	chi32	-0.7980617541157629	0.030329783489972395	0.03800430647572783	103.26565051446502	108.3039600646694	0.8676193558453152	1.5690815497844373
torus	8.0	7	2	3	ZZ onsite	exact	-0.7980617541157629	0.0	0.0	108.3039600646694	108.3039600646694	1.0000000000000027	1.5690815497844373
torus	8.0	7	2	3	ZZ onsite	UHF	-0.7980617541157629	0.002673449703777586	0.003349928360794231	109.1601856730124	108.3039600646694	1.0000000000000027	1.5690815497844373
torus	8.0	7	2	3	ZZ onsite	UHFsym	-0.7980617541157629	0.0026734497037785854	0.003349928360795483	109.16018567301272	108.3039600646694	1.0000000000000027	1.5690815497844373
torus	8.0	7	2	3	ZZ up-up nb	chi4	-0.6027332940159829	0.18901406631897244	0.3135948655823886	10.777366668951665	108.59657770882583	0.3829123702363809	1.5690815497844373
torus	8.0	7	2	3	ZZ up-up nb	chi8	-0.6027332940159829	0.1230181201109084	0.2041004227446017	23.688531969951566	108.59657770882583	0.5879253494917182	1.5690815497844373
torus	8.0	7	2	3	ZZ up-up nb	chi32	-0.6027332940159829	0.04313009917085964	0.07155751905371921	85.45344848345876	108.59657770882583	0.8676193558453152	1.5690815497844373
torus	8.0	7	2	3	ZZ up-up nb	exact	-0.6027332940159829	0.0	0.0	108.59657770882583	108.59657770882583	1.0000000000000027	1.5690815497844373
torus	8.0	7	2	3	ZZ up-up nb	UHF	-0.6027332940159829	0.24426789856335274	0.405266974611287	6.545398099030106	108.59657770882583	1.0000000000000027	1.5690815497844373
torus	8.0	7	2	3	ZZ up-up nb	UHFsym	-0.6027332940159829	-0.289620734647381	0.4805122556241285	4.0589113004135395	108.59657770882583	1.0000000000000027	1.5690815497844373
torus	8.0	7	2	3	SzSz nb	chi4	-0.14477053852941638	0.04850215432256927	0.3350277951250003	7.194169466795038	60.444376515275	0.3829123702363809	1.5690815497844373
torus	8.0	7	2	3	SzSz nb	chi8	-0.14477053852941638	0.027777899049570093	0.19187535897661812	16.298260749198658	60.444376515275	0.5879253494917182	1.5690815497844373
torus	8.0	7	2	3	SzSz nb	chi32	-0.14477053852941638	0.010929175318560608	0.07549309016585494	40.62995831146275	60.444376515275	0.8676193558453152	1.5690815497844373
torus	8.0	7	2	3	SzSz nb	exact	-0.14477053852941638	0.0	0.0	60.444376515275	60.444376515275	1.0000000000000027	1.5690815497844373
torus	8.0	7	2	3	SzSz nb	UHF	-0.14477053852941638	0.06119651102044321	0.42271384524834454	4.735725044044487	60.444376515275	1.0000000000000027	1.5690815497844373
