L	rho	site	prior	observable	true	Delta	G	G_max
4	ED	2	chi32	n	0.9999999999999998	-6.661338147750939e-16	0.9999999999999998	1.0000000000000004
4	ED	2	exact	n	0.9999999999999998	-4.440892098500626e-16	1.0000000000000004	1.0000000000000004
4	ED	2	UHF	n	0.9999999999999998	6.661338147750939e-16	0.019992923662381798	1.0000000000000004
4	ED	2	UHFsym	n	0.9999999999999998	6.661338147750939e-16	0.9999999999999998	1.0000000000000004
4	ED	2	chi2	Sz	-2.3002433291452462e-15	-3.0635216585750413e-15	0.9999999999999993	0.9999999999999994
4	ED	2	chi4	Sz	-2.3002433291452462e-15	-3.112093915902392e-15	0.9999999999999993	0.9999999999999994
4	ED	2	chi8	Sz	-2.3002433291452462e-15	-3.299444051307887e-15	0.9999999999999991	0.9999999999999994
4	ED	2	chi16	Sz	-2.3002433291452462e-15	-2.806782584130474e-15	0.9999999999999997	0.9999999999999994
4	ED	2	chi32	Sz	-2.3002433291452462e-15	-2.806782584130474e-15	0.9999999999999997	0.9999999999999994
4	ED	2	exact	Sz	-2.3002433291452462e-15	-3.049643870767227e-15	0.9999999999999994	0.9999999999999994
4	ED	2	UHF	Sz	-2.3002433291452462e-15	-0.3822190584982988	0.02995568830988088	0.9999999999999994
4	ED	2	UHFsym	Sz	-2.3002433291452462e-15	-2.297641243931281e-15	1.0000000000000002	0.9999999999999994
4	ED	2	chi2	DoubleOcc	0.09698302948389981	0.09698302948389981	2.4121533942209257	31.966195372413427
4	ED	2	chi4	DoubleOcc	0.09698302948389981	0.008083397054168467	29.69848817869565	31.966195372413427
4	ED	2	chi8	DoubleOcc	0.09698302948389981	4.674673129259621e-5	31.967869804299635	31.966195372413427
4	ED	2	chi16	DoubleOcc	0.09698302948389981	-3.608224830031759e-16	31.966195372413416	31.966195372413427
4	ED	2	chi32	DoubleOcc	0.09698302948389981	-3.608224830031759e-16	31.966195372413416	31.966195372413427
4	ED	2	exact	DoubleOcc	0.09698302948389981	-3.885780586188048e-16	31.966195372413427	31.966195372413427
4	ED	2	UHF	DoubleOcc	0.09698302948389981	-0.00692556183677559	1.4086478925730688	31.966195372413427
4	ED	2	UHFsym	DoubleOcc	0.09698302948389981	-0.006925561836775618	29.8401276759135	31.966195372413427
4	ED	2	chi2	ZZ onsite	-0.6120678820644003	0.38793211793560056	2.431567544027356	58.09591446289405
4	ED	2	chi4	ZZ onsite	-0.6120678820644003	0.03233358821667387	50.21282217117345	58.09591446289405
4	ED	2	chi8	ZZ onsite	-0.6120678820644003	0.0001869869251697187	58.0963525734793	58.09591446289405
4	ED	2	chi16	ZZ onsite	-0.6120678820644003	-7.771561172376096e-16	58.09591446289405	58.09591446289405
4	ED	2	chi32	ZZ onsite	-0.6120678820644003	-7.771561172376096e-16	58.09591446289405	58.09591446289405
4	ED	2	exact	ZZ onsite	-0.6120678820644003	-1.2212453270876722e-15	58.09591446289405	58.09591446289405
4	ED	2	UHF	ZZ onsite	-0.6120678820644003	-0.02770224734710358	51.927943172833444	58.09591446289405
4	ED	2	UHFsym	ZZ onsite	-0.6120678820644003	-0.02770224734710358	51.927943172833444	58.09591446289405
4	ED	2	chi2	ZZ up-up r=1	-0.2721633911304254	-0.2721633911304255	0.9999999999999999	7.607096747004034
4	ED	2	chi4	ZZ up-up r=1	-0.2721633911304254	-0.23760980993769837	1.2633630122364519	7.607096747004034
4	ED	2	chi8	ZZ up-up r=1	-0.2721633911304254	-0.003814654860921418	7.611097529264532	7.607096747004034
4	ED	2	chi16	ZZ up-up r=1	-0.2721633911304254	1.9984014443252818e-15	7.607096747004034	7.607096747004034
4	ED	2	chi32	ZZ up-up r=1	-0.2721633911304254	1.9984014443252818e-15	7.607096747004034	7.607096747004034
4	ED	2	exact	ZZ up-up r=1	-0.2721633911304254	1.942890293094024e-15	7.607096747004034	7.607096747004034
4	ED	2	UHF	ZZ up-up r=1	-0.2721633911304254	0.497852852821567	0.31974511884335327	7.607096747004034
4	ED	2	UHFsym	ZZ up-up r=1	-0.2721633911304254	0.10822820721294019	3.5914057892727174	7.607096747004034
4	ED	2	chi2	SzSz r=1	-0.05454263119646576	-0.054542631196465775	0.9999999999999994	5.112865951130018
4	ED	2	chi4	SzSz r=1	-0.05454263119646576	-0.05454263119646575	1.0173627168320742	5.112865951130018
4	ED	2	chi8	SzSz r=1	-0.05454263119646576	-0.0002588232083433825	5.1116575729346465	5.112865951130018
4	ED	2	chi16	SzSz r=1	-0.05454263119646576	3.885780586188048e-16	5.112865951130018	5.112865951130018
4	ED	2	chi32	SzSz r=1	-0.05454263119646576	3.885780586188048e-16	5.112865951130018	5.112865951130018
