geometry	rho	U	site	observable	prior	true	Delta	relerr	G	G_max
cylinder	ED	4.0	9	DoubleOcc	chi4	0.10444248655406765	0.09065977884251647	0.8680354311134083	2.209273120025634	23.879528844290643
cylinder	ED	4.0	9	DoubleOcc	chi8	0.10444248655406765	0.04188831981428093	0.40106589948522753	7.3773495560306745	23.879528844290643
cylinder	ED	4.0	9	DoubleOcc	chi32	0.10444248655406765	0.0004774551130352356	0.004571464437397009	23.801369759868244	23.879528844290643
cylinder	ED	4.0	9	DoubleOcc	chi128	0.10444248655406765	2.8754563355576357e-5	0.00027531481013419505	23.875153220907375	23.879528844290643
cylinder	ED	4.0	9	DoubleOcc	exact	0.10444248655406765	1.0100920100342137e-11	9.671275008483358e-11	23.879528844290643	23.879528844290643
cylinder	ED	4.0	9	DoubleOcc	UHF	0.10444248655406765	-0.006916006932953855	0.06621832896877254	0.9865821803096388	23.879528844290643
cylinder	ED	4.0	9	DoubleOcc	UHFsym	0.10444248655406765	-0.006916006932953966	0.06621832896877361	23.64592363646373	23.879528844290643
cylinder	ED	4.0	9	ZZ onsite	chi4	-0.5822300537837286	0.3626391153712679	0.6228450644459028	2.2796606269802324	43.39664932626959
cylinder	ED	4.0	9	ZZ onsite	chi8	-0.5822300537837286	0.16755327925240793	0.28777847890800595	8.519450306785524	43.39664932626959
cylinder	ED	4.0	9	ZZ onsite	chi32	-0.5822300537837286	0.0019098204564091947	0.0032801818525132406	43.15366968882903	43.39664932626959
cylinder	ED	4.0	9	ZZ onsite	chi128	-0.5822300537837286	0.00011501825291126977	0.00019754777714376404	43.38309978104765	43.39664932626959
cylinder	ED	4.0	9	ZZ onsite	exact	-0.5822300537837286	3.9119818495692016e-11	6.718962417254952e-11	43.39664932626959	43.39664932626959
cylinder	ED	4.0	9	ZZ onsite	UHF	-0.5822300537837286	-0.027664027731816865	0.04751391233076533	42.356531359289015	43.39664932626959
cylinder	ED	4.0	9	ZZ onsite	UHFsym	-0.5822300537837286	-0.027664027731822305	0.04751391233077468	42.35653135928803	43.39664932626959
cylinder	ED	4.0	9	ZZ up-up nb	chi4	-0.2659923680084362	0.22180971069183542	0.8338950186901624	1.3315694504248479	8.299155554004548
cylinder	ED	4.0	9	ZZ up-up nb	chi8	-0.2659923680084362	0.11885971891435326	0.4468538695463004	3.2883257673516173	8.299155554004548
cylinder	ED	4.0	9	ZZ up-up nb	chi32	-0.2659923680084362	0.0007491168506715273	0.002816309566625492	8.296271036775744	8.299155554004548
cylinder	ED	4.0	9	ZZ up-up nb	chi128	-0.2659923680084362	7.312680973281527e-5	0.00027492070648619507	8.298916802943534	8.299155554004548
cylinder	ED	4.0	9	ZZ up-up nb	exact	-0.2659923680084362	3.791689184851066e-11	1.4254879616436249e-10	8.299155554004548	8.299155554004548
cylinder	ED	4.0	9	ZZ up-up nb	UHF	-0.2659923680084362	0.3871476764318289	1.4554841529120497	0.49313147648913963	8.299155554004548
cylinder	ED	4.0	9	ZZ up-up nb	UHFsym	-0.2659923680084362	0.01725646960227406	0.06487580727025505	7.996797017713789	8.299155554004548
cylinder	ED	4.0	9	SzSz nb	chi4	-0.05966973985104164	0.055389425968400754	0.9282665905142845	1.0549213610893369	6.745451216270413
cylinder	ED	4.0	9	SzSz nb	chi8	-0.05966973985104164	0.030251792076403924	0.5069871622018782	2.554155289313261	6.745451216270413
cylinder	ED	4.0	9	SzSz nb	chi32	-0.05966973985104164	0.0006720286523071856	0.011262469955203837	6.725299695857966	6.745451216270413
cylinder	ED	4.0	9	SzSz nb	chi128	-0.05966973985104164	1.7414616522958004e-5	0.0002918500493957492	6.744967699519744	6.745451216270413
cylinder	ED	4.0	9	SzSz nb	exact	-0.05966973985104164	6.113776152005812e-12	1.0246024479523662e-10	6.745451216270413	6.745451216270413
cylinder	ED	4.0	9	SzSz nb	UHF	-0.05966973985104164	0.09129351896048234	1.5299801740109087	0.43802952469141965	6.745451216270413
cylinder	ED	4.0	9	SzSz nb	UHFsym	-0.05966973985104164	-0.0011792827469066236	0.019763497374893232	6.611330279835718	6.745451216270413
cylinder	ED	4.0	9	SxSx nb	chi4	-0.0596697398510416	0.07206687057197983	1.2077624395864	0.7991748409965636	6.406575924565149
cylinder	ED	4.0	9	SxSx nb	chi8	-0.0596697398510416	0.03456553341281848	0.5792807794890211	2.5146793097327795	6.406575924565149
cylinder	ED	4.0	9	SxSx nb	chi32	-0.0596697398510416	0.0006754673996075405	0.011320099623255682	6.4223280776524385	6.406575924565149
cylinder	ED	4.0	9	SxSx nb	chi128	-0.0596697398510416	1.6034775458875772e-5	0.000268725412560951	6.40695996079534	6.406575924565149
cylinder	ED	4.0	9	SxSx nb	exact	-0.0596697398510416	8.275991003614536e-12	1.3869661614537891e-10	6.406575924565149	6.406575924565149
cylinder	ED	4.0	9	SxSx nb	UHF	-0.0596697398510416	-0.047347987552499124	0.7935008208632673	1.4783842301503107	6.406575924565149
cylinder	ED	4.0	9	SxSx nb	UHFsym	-0.0596697398510416	-0.001111586698804623	0.01862898517036553	6.035602945829326	6.406575924565149
cylinder	DMRG	4.0	9	n	chi4	0.9999999999993558	-1.2450040998146505e-12	1.2450040998154525e-12	1.0000000000210716	1.0000000000125286
cylinder	DMRG	4.0	9	n	chi8	0.9999999999993558	1.712963104694154e-12	1.7129631046952575e-12	1.0000000000166507	1.0000000000125286
cylinder	DMRG	4.0	9	n	chi32	0.9999999999993558	-2.7775559630072166e-12	2.777555963009006e-12	1.0000000000198015	1.0000000000125286
cylinder	DMRG	4.0	9	n	chi128	0.9999999999993558	-3.892441924335799e-13	3.892441924338306e-13	1.0000000000124423	1.0000000000125286
cylinder	DMRG	4.0	9	n	exact	0.9999999999993558	0.0	0.0	1.0000000000125286	1.0000000000125286
cylinder	DMRG	4.0	9	n	UHF	0.9999999999993558	-6.429301535604282e-13	6.429301535608422e-13	0.019011183169862077	1.0000000000125286
cylinder	DMRG	4.0	9	n	UHFsym	0.9999999999993558	-6.377121053446899e-13	6.377121053451007e-13	1.0000000000000298	1.0000000000125286
cylinder	DMRG	4.0	9	Sz	chi4	6.159628362922831e-12	-3.437222728663869e-12	NaN	0.9999999999703126	0.9999999999815713
cylinder	DMRG	4.0	9	Sz	chi8	6.159628362922831e-12	-2.725764058908453e-12	NaN	0.9999999999742919	0.9999999999815713
cylinder	DMRG	4.0	9	Sz	chi32	6.159628362922831e-12	-2.1360274660153777e-12	NaN	0.9999999999733534	0.9999999999815713
cylinder	DMRG	4.0	9	Sz	chi128	6.159628362922831e-12	2.1686819007271652e-13	NaN	0.999999999982	0.9999999999815713
cylinder	DMRG	4.0	9	Sz	exact	6.159628362922831e-12	0.0	NaN	0.9999999999815713	0.9999999999815713
cylinder	DMRG	4.0	9	Sz	UHF	6.159628362922831e-12	-0.37234595003624105	NaN	0.03296513617119218	0.9999999999815713
cylinder	DMRG	4.0	9	Sz	UHFsym	6.159628362922831e-12	6.1596298808058725e-12	NaN	1.0000000000000004	0.9999999999815713
cylinder	DMRG	4.0	9	DoubleOcc	chi4	0.10444248654396673	0.09065977883241555	0.8680354311006457	2.209273120025634	23.879528844290643
cylinder	DMRG	4.0	9	DoubleOcc	chi8	0.10444248654396673	0.04188831980418001	0.401065899427303	7.3773495560306745	23.879528844290643
cylinder	DMRG	4.0	9	DoubleOcc	chi32	0.10444248654396673	0.0004774551029343155	0.004571464341126378	23.801369759868244	23.879528844290643
cylinder	DMRG	4.0	9	DoubleOcc	chi128	0.10444248654396673	2.8754553254656257e-5	0.00027531471344807143	23.875153220907375	23.879528844290643
cylinder	DMRG	4.0	9	DoubleOcc	exact	0.10444248654396673	0.0	0.0	23.879528844290643	23.879528844290643
cylinder	DMRG	4.0	9	DoubleOcc	UHF	0.10444248654396673	-0.0069160069430547755	0.06621832907188946	0.9865821803096388	23.879528844290643
cylinder	DMRG	4.0	9	DoubleOcc	UHFsym	0.10444248654396673	-0.0069160069430548865	0.06621832907189051	23.64592363646373	23.879528844290643
cylinder	DMRG	4.0	9	ZZ onsite	chi4	-0.5822300538228484	0.3626391153321481	0.6228450643368645	2.2796606269802324	43.39664932626959
cylinder	DMRG	4.0	9	ZZ onsite	chi8	-0.5822300538228484	0.1675532792132881	0.2877784788214806	8.519450306785524	43.39664932626959
cylinder	DMRG	4.0	9	ZZ onsite	chi32	-0.5822300538228484	0.0019098204172893762	0.0032801817851032225	43.15366968882903	43.39664932626959
cylinder	DMRG	4.0	9	ZZ onsite	chi128	-0.5822300538228484	0.00011501821379145127	0.0001975477099408667	43.38309978104765	43.39664932626959
cylinder	DMRG	4.0	9	ZZ onsite	exact	-0.5822300538228484	0.0	0.0	43.39664932626959	43.39664932626959
cylinder	DMRG	4.0	9	ZZ onsite	UHF	-0.5822300538228484	-0.027664027770936683	0.04751391239476251	42.356531359289015	43.39664932626959
cylinder	DMRG	4.0	9	ZZ onsite	UHFsym	-0.5822300538228484	-0.027664027770942123	0.04751391239477186	42.35653135928803	43.39664932626959
cylinder	DMRG	4.0	9	ZZ up-up nb	chi4	-0.26599236804635307	0.22180971065391852	0.8338950184287428	1.3315694504248479	8.299155554004548
cylinder	DMRG	4.0	9	ZZ up-up nb	chi8	-0.26599236804635307	0.11885971887643637	0.4468538693400531	3.2883257673516173	8.299155554004548
cylinder	DMRG	4.0	9	ZZ up-up nb	chi32	-0.26599236804635307	0.0007491168127546355	0.0028163094236752346	8.296271036775744	8.299155554004548
cylinder	DMRG	4.0	9	ZZ up-up nb	chi128	-0.26599236804635307	7.312677181592342e-5	0.0002749205638982093	8.298916802943534	8.299155554004548
