L	n_u	n_m	n_repeat	observable	absA	prior	true	Delta	G	G_theory	CI_relwidth
16	800	100	300	ZZ onsite |A|=2	2	chi4	-0.5985704920183841	0.14172611448061567	12.673341766847443	50.58961184532023	0.11338965605690074
16	800	100	300	ZZ onsite |A|=2	2	chi8	-0.5985704920183841	-0.002375888552378913	49.91225881918792	50.58961184532023	0.11338965605690074
16	800	100	300	ZZ onsite |A|=2	2	chi32	-0.5985704920183841	-8.800334999614634e-6	49.820317859443115	50.58961184532023	0.11338965605690074
16	800	100	300	ZZ onsite |A|=2	2	exact	-0.5985704920183841	0.0	49.81983281030038	50.58961184532023	0.11338965605690074
16	800	100	300	ZZ up-up |A|=2	2	chi2	-0.3978048604828066	-0.05588934129602918	13.386282301392244	17.675482778502886	0.10754905889975469
16	800	100	300	ZZ up-up |A|=2	2	chi4	-0.3978048604828066	-0.33694326491432003	1.3620845143485263	17.675482778502886	0.10754905889975469
16	800	100	300	ZZ up-up |A|=2	2	chi8	-0.3978048604828066	-0.004365509915066401	18.14439508078797	17.675482778502886	0.10754905889975469
16	800	100	300	ZZ up-up |A|=2	2	chi32	-0.3978048604828066	-0.00014386712555558567	18.215057402606416	17.675482778502886	0.10754905889975469
16	800	100	300	ZZ up-up |A|=2	2	exact	-0.3978048604828066	0.0	18.216242979643148	17.675482778502886	0.10754905889975469
16	800	100	300	DoubleOcc |A|=2	2	chi2	0.10035737699017858	0.10035737699017855	1.9938484860102048	NaN	0.11365200485486901
16	800	100	300	DoubleOcc |A|=2	2	chi4	0.10035737699017858	0.0354315229591369	10.167945440313126	NaN	0.11365200485486901
16	800	100	300	DoubleOcc |A|=2	2	chi8	0.10035737699017858	-0.0005939715950023794	27.902484254060255	NaN	0.11365200485486901
16	800	100	300	DoubleOcc |A|=2	2	chi32	0.10035737699017858	-2.2000763591489836e-6	27.8269266812552	NaN	0.11365200485486901
16	800	100	300	DoubleOcc |A|=2	2	exact	0.10035737699017858	0.0	27.82660168381912	NaN	0.11365200485486901
16	800	100	300	SzSz |A|=2	2	chi2	-0.08155407383732062	0.003924805959373737	9.164384845418253	NaN	0.11160011972373057
16	800	100	300	SzSz |A|=2	2	chi4	-0.08155407383732062	-0.06633867494519897	1.4408594305484965	NaN	0.11160011972373057
16	800	100	300	SzSz |A|=2	2	chi8	-0.08155407383732062	-0.0007873035619198054	11.881476543817353	NaN	0.11160011972373057
16	800	100	300	SzSz |A|=2	2	chi32	-0.08155407383732062	-4.321406686590146e-5	11.981276467840187	NaN	0.11160011972373057
16	800	100	300	SzSz |A|=2	2	exact	-0.08155407383732062	0.0	11.98171552215385	NaN	0.11160011972373057
16	800	100	300	hop |A|=3	3	chi2	0.4227169615035098	0.4227169615035098	1.0	NaN	0.10385167833009164
16	800	100	300	hop |A|=3	3	chi4	0.4227169615035098	0.4227169615035098	1.0	NaN	0.10385167833009164
16	800	100	300	hop |A|=3	3	chi8	0.4227169615035098	0.005699855880129889	20.830490229832975	NaN	0.10385167833009164
