L	bc	seed	rho	site	prior	observable	true	Delta	G	G_lo	G_hi	G_max
12	OBC	1	DMRG	2	UHF	hop up r=1	0.3748447387455797	-0.05999042826808143	10.82359639637227	9.638391938801664	12.152073727620154	16.421878361600502
12	OBC	1	DMRG	2	UHFsym	hop up r=1	0.3748447387455797	-0.059990428268082374	10.823596396372169	9.638391938801583	12.152073727620033	16.421878361600502
12	OBC	2	DMRG	2	chi2	n	1.000000000000609	6.095124405192109e-13	1.0000000001025189	0.9999999999785496	1.0000000002405898	0.9999999999994875
12	OBC	2	DMRG	2	chi4	n	1.000000000000609	3.087030631121479e-11	0.999999999845235	0.9999999996903914	0.9999999999857996	0.9999999999994875
12	OBC	2	DMRG	2	chi8	n	1.000000000000609	-4.7831516525320694e-11	1.0000000000634377	1.0000000000214637	1.0000000001039622	0.9999999999994875
12	OBC	2	DMRG	2	chi16	n	1.000000000000609	-4.445110945994202e-12	0.9999999999844439	0.9999999999540391	1.0000000000117257	0.9999999999994875
12	OBC	2	DMRG	2	chi32	n	1.000000000000609	-3.155253835984695e-13	1.000000000002387	1.0000000000007392	1.0000000000039786	0.9999999999994875
12	OBC	2	DMRG	2	exact	n	1.000000000000609	0.0	0.9999999999994875	0.9999999999976437	1.0000000000012126	0.9999999999994875
12	OBC	2	DMRG	2	UHF	n	1.000000000000609	6.072919944699606e-13	0.01953415670859182	0.017909111343634633	0.02112500710079572	0.9999999999994875
12	OBC	2	DMRG	2	UHFsym	n	1.000000000000609	6.072919944699606e-13	1.0000000000000049	1.0000000000000027	1.0000000000000069	0.9999999999994875
12	OBC	2	DMRG	2	chi2	Sz	9.004394452283293e-13	7.296018650349012e-11	1.0000000000333373	0.9999999999259949	1.0000000001350098	1.0000000000009246
12	OBC	2	DMRG	2	chi4	Sz	9.004394452283293e-13	-8.113921340369146e-11	0.9999999998954037	0.9999999997811804	1.0000000000197704	1.0000000000009246
12	OBC	2	DMRG	2	chi8	Sz	9.004394452283293e-13	2.6722582480154244e-12	1.0000000001074971	1.0000000000733744	1.0000000001418863	1.0000000000009246
12	OBC	2	DMRG	2	chi16	Sz	9.004394452283293e-13	-1.4503148682010192e-11	1.0000000000040037	0.9999999999814485	1.0000000000272198	1.0000000000009246
12	OBC	2	DMRG	2	chi32	Sz	9.004394452283293e-13	1.7592212409045516e-12	1.0000000000024345	1.0000000000010696	1.0000000000037668	1.0000000000009246
12	OBC	2	DMRG	2	exact	Sz	9.004394452283293e-13	0.0	1.0000000000009246	0.9999999999994656	1.0000000000023932	1.0000000000009246
12	OBC	2	DMRG	2	UHF	Sz	9.004394452283293e-13	-0.3811937855340521	0.0271176259219538	0.024489803115935783	0.029928095709504037	1.0000000000009246
12	OBC	2	DMRG	2	UHFsym	Sz	9.004394452283293e-13	9.004268684831285e-13	1.0000000000000038	1.0000000000000022	1.0000000000000056	1.0000000000009246
12	OBC	2	DMRG	2	chi2	DoubleOcc	0.09919851043047065	0.09919851043047065	2.3853225038823367	2.312865700457443	2.480304139679211	34.155958260447846
12	OBC	2	DMRG	2	chi4	DoubleOcc	0.09919851043047065	0.00898937122129817	32.27472456952695	29.89990799327341	35.29696969774979	34.155958260447846
12	OBC	2	DMRG	2	chi8	DoubleOcc	0.09919851043047065	0.0005207753869833354	34.25428439181806	31.483390336152386	37.49582861818541	34.155958260447846
12	OBC	2	DMRG	2	chi16	DoubleOcc	0.09919851043047065	3.343401336394769e-5	34.16304253231246	31.391288570473733	37.36392601402001	34.155958260447846
12	OBC	2	DMRG	2	chi32	DoubleOcc	0.09919851043047065	1.3880880620209535e-6	34.156254473931924	31.38298726211801	37.35593610601417	34.155958260447846
12	OBC	2	DMRG	2	exact	DoubleOcc	0.09919851043047065	0.0	34.155958260447846	31.38262591933381	37.35558740221191	34.155958260447846
12	OBC	2	DMRG	2	UHF	DoubleOcc	0.09919851043047065	-0.005492787439062868	1.191982834729297	1.0943732969010513	1.2923331438041779	34.155958260447846
12	OBC	2	DMRG	2	UHFsym	DoubleOcc	0.09919851043047065	-0.005492787439062757	31.712047972560757	29.190069402275185	34.29288964038726	34.155958260447846
12	OBC	2	DMRG	2	chi2	ZZ onsite	-0.6032059582793358	0.3967940417206639	2.435498879164777	2.378149235752616	2.504201321645265	62.377632138025405
12	OBC	2	DMRG	2	chi4	ZZ onsite	-0.6032059582793358	0.03595748482345196	56.43353983548773	51.31505362742883	62.23605179952006	62.377632138025405
12	OBC	2	DMRG	2	chi8	ZZ onsite	-0.6032059582793358	0.0020831016435965966	62.71976305806233	57.22860250048999	68.88214890837851	62.377632138025405
12	OBC	2	DMRG	2	chi16	ZZ onsite	-0.6032059582793358	0.00013373606234556856	62.40215026955146	57.04440525535101	68.40526255811781	62.377632138025405
12	OBC	2	DMRG	2	chi32	ZZ onsite	-0.6032059582793358	5.552352879356626e-6	62.37865695124318	57.01729907856094	68.37617058168802	62.377632138025405
12	OBC	2	DMRG	2	exact	ZZ onsite	-0.6032059582793358	0.0	62.377632138025405	57.01611932720185	68.3753899390741	62.377632138025405
12	OBC	2	DMRG	2	UHF	ZZ onsite	-0.6032059582793358	-0.02197114975746628	54.52152011330069	50.1829235820411	59.15553400828538	62.377632138025405
12	OBC	2	DMRG	2	UHFsym	ZZ onsite	-0.6032059582793358	-0.021971149757465835	54.52152011330094	50.18292358204134	59.15553400828565	62.377632138025405
12	OBC	2	DMRG	2	chi2	ZZ up-up r=1	-0.3216286103212462	-0.3216286103212462	1.0	1.0	1.0	10.712545067387003
12	OBC	2	DMRG	2	chi4	ZZ up-up r=1	-0.3216286103212462	-0.2839071239175322	1.2506394458928738	1.2463365451864328	1.254847741748854	10.712545067387003
12	OBC	2	DMRG	2	chi8	ZZ up-up r=1	-0.3216286103212462	-0.005471956446573278	10.686405965627257	9.746958932744416	11.526231056686317	10.712545067387003
12	OBC	2	DMRG	2	chi16	ZZ up-up r=1	-0.3216286103212462	1.0609066050437654e-5	10.712537235557642	9.757384606757233	11.567326072626207	10.712545067387003
12	OBC	2	DMRG	2	chi32	ZZ up-up r=1	-0.3216286103212462	1.007520174178822e-6	10.712544333366376	9.757405069818498	11.567247234770639	10.712545067387003
12	OBC	2	DMRG	2	exact	ZZ up-up r=1	-0.3216286103212462	0.0	10.712545067387003	9.757407208176819	11.567238949791053	10.712545067387003
12	OBC	2	DMRG	2	UHF	ZZ up-up r=1	-0.3216286103212462	0.45533796899310736	0.5215109346436758	0.4983567479377913	0.5444959631437358	10.712545067387003
12	OBC	2	DMRG	2	UHFsym	ZZ up-up r=1	-0.3216286103212462	0.06336682223113965	7.750600918727933	7.05004886530893	8.436280051256372	10.712545067387003
12	OBC	2	DMRG	2	chi2	SzSz r=1	-0.0651473622916342	-0.0651473622916342	1.0	1.0	1.0	7.1475463641708155
12	OBC	2	DMRG	2	chi4	SzSz r=1	-0.0651473622916342	-0.0651473622916342	1.0103807590952696	1.0048919652788255	1.0154570517221553	7.1475463641708155
12	OBC	2	DMRG	2	chi8	SzSz r=1	-0.0651473622916342	-0.0004201254330205295	7.159356831327812	6.541820417613899	7.7945206109773615	7.1475463641708155
12	OBC	2	DMRG	2	chi16	SzSz r=1	-0.0651473622916342	-6.237833470174037e-6	7.147821073977312	6.532484617117486	7.7834789396378	7.1475463641708155
12	OBC	2	DMRG	2	chi32	SzSz r=1	-0.0651473622916342	1.9583694350899794e-7	7.147537974906144	6.532355132813446	7.783133951217049	7.1475463641708155
12	OBC	2	DMRG	2	exact	SzSz r=1	-0.0651473622916342	0.0	7.1475463641708155	6.532359658325669	7.783142866949931	7.1475463641708155
12	OBC	2	DMRG	2	UHF	SzSz r=1	-0.0651473622916342	0.10545907972797869	0.38994333945833554	0.36886658186738625	0.4132690637682178	7.1475463641708155
12	OBC	2	DMRG	2	UHFsym	SzSz r=1	-0.0651473622916342	0.007466293037487387	6.160685659495638	5.612341941217325	6.725030294908489	7.1475463641708155
12	OBC	2	DMRG	2	chi2	hop up r=1	0.3748447387455797	0.3748447387455797	1.0	1.0	1.0	17.25119132898306
12	OBC	2	DMRG	2	chi4	hop up r=1	0.3748447387455797	0.12618496811014548	6.235072872474204	6.0218528929570665	6.446359884309251	17.25119132898306
12	OBC	2	DMRG	2	chi8	hop up r=1	0.3748447387455797	0.0031348212638029893	17.2795581333824	15.841223833859653	18.981748004917943	17.25119132898306
12	OBC	2	DMRG	2	chi16	hop up r=1	0.3748447387455797	-1.3537931699447725e-5	17.250982232709976	15.801675474535347	18.959819344496967	17.25119132898306
12	OBC	2	DMRG	2	chi32	hop up r=1	0.3748447387455797	2.171024291786061e-6	17.251224791942075	15.802195617767401	18.959810022294793	17.25119132898306
12	OBC	2	DMRG	2	exact	hop up r=1	0.3748447387455797	0.0	17.25119132898306	15.802123781808247	18.959811381666235	17.25119132898306
12	OBC	2	DMRG	2	UHF	hop up r=1	0.3748447387455797	-0.05999042826808143	11.668525800046655	10.714418103102947	12.951404355449235	17.25119132898306
12	OBC	2	DMRG	2	UHFsym	hop up r=1	0.3748447387455797	-0.059990428268082374	11.668525800046545	10.71441810310285	12.951404355449103	17.25119132898306
12	OBC	0	ED	3	chi2	n	0.9999999999999245	-7.505107646466058e-14	0.999999999760562	0.9999999996200358	0.9999999999002457	1.0000000000062461
12	OBC	0	ED	3	chi4	n	0.9999999999999245	4.908736750408593e-10	1.0000000000601421	0.9999999996466213	1.000000000423254	1.0000000000062461
12	OBC	0	ED	3	chi8	n	0.9999999999999245	-2.2098034513362563e-10	1.0000000001203102	0.9999999999431475	1.0000000003233296	1.0000000000062461
12	OBC	0	ED	3	chi16	n	0.9999999999999245	-4.015854315753131e-11	1.0000000000448046	1.000000000004496	1.0000000000881575	1.0000000000062461
12	OBC	0	ED	3	chi32	n	0.9999999999999245	9.145906254559577e-12	1.0000000000093177	1.0000000000000766	1.0000000000176266	1.0000000000062461
12	OBC	0	ED	3	exact	n	0.9999999999999245	-7.964739978660873e-13	1.0000000000062461	1.0000000000026024	1.0000000000099165	1.0000000000062461
12	OBC	0	ED	3	UHF	n	0.9999999999999245	-7.327471962526033e-14	0.019993024420342793	0.018279201426537817	0.02166575229525614	1.0000000000062461
12	OBC	0	ED	3	UHFsym	n	0.9999999999999245	-7.327471962526033e-14	1.000000000000001	0.9999999999999991	1.0000000000000033	1.0000000000062461
12	OBC	0	ED	3	chi2	Sz	6.44737735422396e-12	-7.359062664961437e-11	0.9999999998346709	0.9999999997257313	0.9999999999313822	1.0000000000037739
12	OBC	0	ED	3	chi4	Sz	6.44737735422396e-12	3.664286929438987e-11	1.0000000004074683	1.0000000001129807	1.0000000007332799	1.0000000000037739
12	OBC	0	ED	3	chi8	Sz	6.44737735422396e-12	4.212297871619697e-11	0.999999999918415	0.999999999771009	1.000000000049528	1.0000000000037739
12	OBC	0	ED	3	chi16	Sz	6.44737735422396e-12	2.0600389449842993e-11	1.0000000000010598	0.9999999999702281	1.0000000000303313	1.0000000000037739
12	OBC	0	ED	3	chi32	Sz	6.44737735422396e-12	9.751234542054732e-12	1.0000000000133058	1.0000000000062972	1.0000000000213638	1.0000000000037739
12	OBC	0	ED	3	exact	Sz	6.44737735422396e-12	8.52020537456255e-12	1.0000000000037739	1.0000000000012277	1.0000000000065352	1.0000000000037739
12	OBC	0	ED	3	UHF	Sz	6.44737735422396e-12	0.3855551816167254	0.03409825203911532	0.031063605835591958	0.03706290627014	1.0000000000037739
12	OBC	0	ED	3	UHFsym	Sz	6.44737735422396e-12	6.447380823670912e-12	1.0000000000000016	1.0	1.0000000000000033	1.0000000000037739
12	OBC	0	ED	3	chi2	DoubleOcc	0.0974595925155905	0.09745959251559053	2.3706813440002574	2.2779469796210177	2.4712626507449786	31.42783577932338
12	OBC	0	ED	3	chi4	DoubleOcc	0.0974595925155905	0.013340310562092783	25.80643165550373	23.843634997241107	28.18093518815941	31.42783577932338
