L	rho	site	prior	observable	true	Delta	G	G_max
14	DMRG	2	chi2	hop up r=1	0.375847748929358	0.375847748929358	1.0	16.1970709216833
14	DMRG	2	chi4	hop up r=1	0.375847748929358	0.12705881985111794	6.076492249128575	16.1970709216833
14	DMRG	2	chi8	hop up r=1	0.375847748929358	0.0033848020430047865	16.223177420916485	16.1970709216833
14	DMRG	2	chi16	hop up r=1	0.375847748929358	1.8788772890632188e-5	16.197328117996584	16.1970709216833
14	DMRG	2	chi32	hop up r=1	0.375847748929358	4.819324498195332e-6	16.197137011586697	16.1970709216833
14	DMRG	2	exact	hop up r=1	0.375847748929358	0.0	16.1970709216833	16.1970709216833
14	DMRG	2	UHF	hop up r=1	0.375847748929358	-0.05898742220739034	11.309642851220445	16.1970709216833
14	DMRG	2	UHFsym	hop up r=1	0.375847748929358	-0.058987422207388784	11.30964285122061	16.1970709216833
14	ED	3	chi2	n	0.9999999999998391	-1.6042722705833512e-13	0.9999999874244675	1.000000000063453
14	ED	3	chi4	n	0.9999999999998391	1.502872326586413e-8	0.9999999831883332	1.000000000063453
14	ED	3	chi8	n	0.9999999999998391	-3.115457891667006e-10	0.9999999995933327	1.000000000063453
14	ED	3	chi16	n	0.9999999999998391	2.4412694088482567e-12	1.000000000071825	1.000000000063453
14	ED	3	chi32	n	0.9999999999998391	6.4288574463944315e-12	1.0000000000698106	1.000000000063453
14	ED	3	exact	n	0.9999999999998391	1.1794232257500425e-11	1.000000000063453	1.000000000063453
14	ED	3	UHF	n	0.9999999999998391	-1.5509815654013437e-13	0.015770467560409313	1.000000000063453
14	ED	3	UHFsym	n	0.9999999999998391	-1.5509815654013437e-13	0.9999999999999954	1.000000000063453
14	ED	3	chi2	Sz	1.574226859979433e-13	4.678001118413468e-9	0.9999999962756452	1.0000000000180622
14	ED	3	chi4	Sz	1.574226859979433e-13	4.410404541577151e-10	0.9999999941037899	1.0000000000180622
14	ED	3	chi8	Sz	1.574226859979433e-13	2.718633998477493e-10	0.9999999998985669	1.0000000000180622
14	ED	3	chi16	Sz	1.574226859979433e-13	-2.7566102178688823e-11	1.0000000000211124	1.0000000000180622
14	ED	3	chi32	Sz	1.574226859979433e-13	-2.8359481429873767e-11	1.000000000020273	1.0000000000180622
