L	doping	site	observable	pure	absA	prior	true	Delta	absDelta	F_window	infid	D_trace	G_theory	G_max
32	0.125	10	hop up r=1	false	0	chi32	0.5404844889953633	0.0010262452477421968	0.0010262452477421968	0.9999843414256259	1.5658574374133316e-5	0.0019869575725852432	NaN	NaN
32	0.125	10	n	false	0	UHF	0.8680923457054198	-0.08689380879689224	0.08689380879689224	0.6594649216005539	0.3405350783994461	0.5446533693033572	NaN	NaN
32	0.125	10	Sz	false	0	UHF	-1.7049851992051446e-7	0.3632074473127623	0.3632074473127623	0.6594649216005539	0.3405350783994461	0.5446533693033572	NaN	NaN
32	0.125	10	DoubleOcc	false	0	UHF	0.07629396235645025	-0.019785902830181806	0.019785902830181806	0.6594649216005539	0.3405350783994461	0.5446533693033572	NaN	NaN
32	0.125	10	ZZ onsite	true	2	UHF	-0.43100884198503575	0.09464400627306002	0.09464400627306002	0.6594649216005539	0.3405350783994461	0.5446533693033572	10.759086329662514	21.280189184418273
32	0.125	10	ZZ up-up r=1	true	2	UHF	-0.45337572518558755	0.09139120537070189	0.09139120537070189	0.6594649216005539	0.3405350783994461	0.5446533693033572	12.405327251117376	23.99837693882843
32	0.125	10	SzSz r=1	false	0	UHF	-0.09305187913088293	0.04875339530869381	0.04875339530869381	0.6594649216005539	0.3405350783994461	0.5446533693033572	NaN	NaN
32	0.125	10	hop up r=1	false	0	UHF	0.5404844889953633	0.15595109239662563	0.15595109239662563	0.6594649216005539	0.3405350783994461	0.5446533693033572	NaN	NaN
32	0.125	10	n	false	0	UHFsym	0.8680923457054198	-0.08689380879689212	0.08689380879689212	0.9420777275919757	0.05792227240802428	0.20194420781470207	NaN	NaN
32	0.125	10	Sz	false	0	UHFsym	-1.7049851992051446e-7	-1.7049851990663667e-7	1.7049851990663667e-7	0.9420777275919757	0.05792227240802428	0.20194420781470207	NaN	NaN
32	0.125	10	DoubleOcc	false	0	UHFsym	0.07629396235645025	-0.019785902830182195	0.019785902830182195	0.9420777275919757	0.05792227240802428	0.20194420781470207	NaN	NaN
32	0.125	10	ZZ onsite	true	2	UHFsym	-0.43100884198503575	0.09464400627305836	0.09464400627305836	0.9420777275919757	0.05792227240802428	0.20194420781470207	10.759086329662704	21.280189184418273
32	0.125	10	ZZ up-up r=1	true	2	UHFsym	-0.45337572518558755	-0.092394208328482	0.092394208328482	0.9420777275919757	0.05792227240802428	0.20194420781470207	12.274462479142969	23.99837693882843
32	0.125	10	SzSz r=1	false	0	UHFsym	-0.09305187913088293	-0.028680174404934214	0.028680174404934214	0.9420777275919757	0.05792227240802428	0.20194420781470207	NaN	NaN
32	0.125	10	hop up r=1	false	0	UHFsym	0.5404844889953633	0.08030184257026002	0.08030184257026002	0.9420777275919757	0.05792227240802428	0.20194420781470207	NaN	NaN
32	0.125	11	n	false	0	chi2	0.8766220480669444	-0.12337795193305623	0.12337795193305623	0.15857639171281043	0.8414236082871895	0.8603107763006775	NaN	NaN
32	0.125	11	Sz	false	0	chi2	-3.337042361883924e-8	-2.9717022865467064e-7	2.9717022865467064e-7	0.15857639171281043	0.8414236082871895	0.8603107763006775	NaN	NaN
32	0.125	11	DoubleOcc	false	0	chi2	0.08022650580706307	0.08022650580706307	0.08022650580706307	0.15857639171281043	0.8414236082871895	0.8603107763006775	NaN	NaN
32	0.125	11	ZZ onsite	true	2	chi2	-0.4323380729056329	0.5676619270943677	0.5676619270943677	0.15857639171281043	0.8414236082871895	0.8603107763006775	0.5916443626289332	21.434270549066298
32	0.125	11	ZZ up-up r=1	true	2	chi2	-0.38949586903363426	-0.3894953414340242	0.3894953414340242	0.15857639171281043	0.8414236082871895	0.8603107763006775	1.000002548810361	16.896712597186433
32	0.125	11	SzSz r=1	false	0	chi2	-0.07913989002469099	-0.07913989002469099	0.07913989002469099	0.15857639171281043	0.8414236082871895	0.8603107763006775	NaN	NaN
32	0.125	11	hop up r=1	false	0	chi2	0.5093152166803852	0.5093152166803852	0.5093152166803852	0.15857639171281043	0.8414236082871895	0.8603107763006775	NaN	NaN
32	0.125	11	n	false	0	chi4	0.8766220480669444	-0.010834803943994276	0.010834803943994276	0.9087873498772686	0.09121265012273139	0.2572371362839996	NaN	NaN
32	0.125	11	Sz	false	0	chi4	-3.337042361883924e-8	0.0012894798599102641	0.0012894798599102641	0.9087873498772686	0.09121265012273139	0.2572371362839996	NaN	NaN
32	0.125	11	DoubleOcc	false	0	chi4	0.08022650580706307	-0.0313937301136933	0.0313937301136933	0.9087873498772686	0.09121265012273139	0.2572371362839996	NaN	NaN
32	0.125	11	ZZ onsite	true	2	chi4	-0.4323380729056329	-0.10390531256678232	0.10390531256678232	0.9087873498772686	0.09121265012273139	0.2572371362839996	9.830939243251372	21.434270549066298
32	0.125	11	ZZ up-up r=1	true	2	chi4	-0.38949586903363426	-0.2352230349752868	0.2352230349752868	0.9087873498772686	0.09121265012273139	0.2572371362839996	2.485624222332721	16.896712597186433
32	0.125	11	SzSz r=1	false	0	chi4	-0.07913989002469099	-0.05672583372163832	0.05672583372163832	0.9087873498772686	0.09121265012273139	0.2572371362839996	NaN	NaN
32	0.125	11	hop up r=1	false	0	chi4	0.5093152166803852	0.11418563312188929	0.11418563312188929	0.9087873498772686	0.09121265012273139	0.2572371362839996	NaN	NaN
32	0.125	11	n	false	0	chi8	0.8766220480669444	-0.009368401081605193	0.009368401081605193	0.9848047023620291	0.015195297637970895	0.09930711183797797	NaN	NaN
32	0.125	11	Sz	false	0	chi8	-3.337042361883924e-8	0.0013040699463743935	0.0013040699463743935	0.9848047023620291	0.015195297637970895	0.09930711183797797	NaN	NaN
32	0.125	11	DoubleOcc	false	0	chi8	0.08022650580706307	0.003594771514187592	0.003594771514187592	0.9848047023620291	0.015195297637970895	0.09930711183797797	NaN	NaN
32	0.125	11	ZZ onsite	true	2	chi8	-0.4323380729056329	0.0331158882199612	0.0331158882199612	0.9848047023620291	0.015195297637970895	0.09930711183797797	19.13961176788581	21.434270549066298
32	0.125	11	ZZ up-up r=1	true	2	chi8	-0.38949586903363426	-0.0841667728366775	0.0841667728366775	0.9848047023620291	0.015195297637970895	0.09930711183797797	9.697901946519938	16.896712597186433
32	0.125	11	SzSz r=1	false	0	chi8	-0.07913989002469099	-0.009012321240923549	0.009012321240923549	0.9848047023620291	0.015195297637970895	0.09930711183797797	NaN	NaN
32	0.125	11	hop up r=1	false	0	chi8	0.5093152166803852	0.08209236358683214	0.08209236358683214	0.9848047023620291	0.015195297637970895	0.09930711183797797	NaN	NaN
32	0.125	11	n	false	0	chi16	0.8766220480669444	-0.0020381064436291174	0.0020381064436291174	0.9995501785609798	0.00044982143902017047	0.011500961329786544	NaN	NaN
