L	n_u	n_m	n_repeat	observable	nterms	prior	true	Delta	sd_std	sd_crm	G
8	800	100	300	ZZ onsite	1	exact	-0.599724290633531	0.0	0.05856763368595956	0.008682412726114898	45.50242075106828
8	800	100	300	DoubleOcc	4	chi2	0.10006892733917228	0.10006892733917228	0.014831500413303585	0.009982535167564909	2.2074378182846437
8	800	100	300	DoubleOcc	4	chi4	0.10006892733917228	0.008499167078370423	0.014831500413303585	0.002909111668749745	25.99258014450947
8	800	100	300	DoubleOcc	4	chi8	0.10006892733917228	-0.000612558647755751	0.014831500413303585	0.00281822271853706	27.696159606905038
8	800	100	300	DoubleOcc	4	chi32	0.10006892733917228	-1.9342364396268685e-6	0.014831500413303585	0.0028158242416783997	27.743362048271216
8	800	100	300	DoubleOcc	4	exact	0.10006892733917228	0.0	0.014831500413303585	0.002815818602485542	27.74347317071755
8	800	100	300	SzSz r=1	4	chi2	-0.06980259492960687	0.006095784422398456	0.004738762532932827	0.0016551756979638398	8.196750006454366
8	800	100	300	SzSz r=1	4	chi4	-0.06980259492960687	-0.06980259492960687	0.004738762532932827	0.0047132666728737695	1.0108480254808647
8	800	100	300	SzSz r=1	4	chi8	-0.06980259492960687	6.105015250831847e-5	0.004738762532932827	0.001470029062933954	10.391495410781152
8	800	100	300	SzSz r=1	4	chi32	-0.06980259492960687	-9.515011272664964e-6	0.004738762532932827	0.0014675028411664872	10.42730292835565
8	800	100	300	SzSz r=1	4	exact	-0.06980259492960687	0.0	0.004738762532932827	0.0014674710107265556	10.427755283784427
8	800	100	300	hop r=1	2	chi2	0.39097164277893914	0.39097164277893914	0.052327499358708694	0.052327499358708694	1.0
8	800	100	300	hop r=1	2	chi4	0.39097164277893914	0.13330368337695203	0.052327499358708694	0.021422729804386607	5.966372187990973
8	800	100	300	hop r=1	2	chi8	0.39097164277893914	0.002717423348741199	0.052327499358708694	0.011743759730138501	19.853891654768518
8	800	100	300	hop r=1	2	chi32	0.39097164277893914	1.466707797659339e-5	0.052327499358708694	0.01171317040822179	19.957725215794056
8	800	100	300	hop r=1	2	exact	0.39097164277893914	0.0	0.052327499358708694	0.011713032181084493	19.958196266408237
8	800	100	300	全エネルギー	84	chi2	-27.42078817670401	-11.420788176704013	0.505403714186886	0.5818307866888662	0.7545420771974709
8	800	100	300	全エネルギー	84	chi4	-27.42078817670401	-1.746749302948988	0.505403714186886	0.19917402072511547	6.43889699040864
8	800	100	300	全エネルギー	84	chi8	-27.42078817670401	-0.062093583695979504	0.505403714186886	0.08125839653667888	38.6848005461149
8	800	100	300	全エネルギー	84	chi32	-27.42078817670401	-5.645310469759579e-5	0.505403714186886	0.08115831635797795	38.780267506034235
8	800	100	300	全エネルギー	84	exact	-27.42078817670401	0.0	0.505403714186886	0.0811582678165405	38.78031389565154
8	800	100	300	構造因子 S(π)	248	chi2	1.1789191437712991	-0.24023506330364142	0.020371880806049507	0.00955098251613339	4.549526016439121
8	800	100	300	構造因子 S(π)	248	chi4	1.1789191437712991	0.14086020357030038	0.020371880806049507	0.005597323515556495	13.246508875091825
8	800	100	300	構造因子 S(π)	248	chi8	1.1789191437712991	0.011085571348784296	0.020371880806049507	0.0037206133543604084	29.980106543022103
8	800	100	300	構造因子 S(π)	248	chi32	1.1789191437712991	7.989320554813162e-5	0.020371880806049507	0.0036935265959002	30.42144170041772
8	800	100	300	構造因子 S(π)	248	exact	1.1789191437712991	0.0	0.020371880806049507	0.0036935266718449346	30.421440449392076
8	1600	100	300	ZZ onsite	1	chi2	-0.599724290633531	0.40027570936646895	0.044153765332816494	0.02958751859572514	2.2269906953374017
8	1600	100	300	ZZ onsite	1	chi4	-0.599724290633531	0.03399666828282255	0.044153765332816494	0.006468486234327631	46.59401914190928
8	1600	100	300	ZZ onsite	1	chi8	-0.599724290633531	-0.0024502346616934734	0.044153765332816494	0.006040351526112483	53.433185109529184
8	1600	100	300	ZZ onsite	1	chi32	-0.599724290633531	-7.736944911851396e-6	0.044153765332816494	0.006033713638994191	53.55081699325271
8	1600	100	300	ZZ onsite	1	exact	-0.599724290633531	0.0	0.044153765332816494	0.006033700905269832	53.55104302436464
8	1600	100	300	DoubleOcc	4	chi2	0.10006892733917228	0.10006892733917228	0.011280331208951562	0.007344549007813075	2.3589212174710124
8	1600	100	300	DoubleOcc	4	chi4	0.10006892733917228	0.008499167078370423	0.011280331208951562	0.0020257435646763924	31.008072229358103
8	1600	100	300	DoubleOcc	4	chi8	0.10006892733917228	-0.000612558647755751	0.011280331208951562	0.0019984498475920697	31.860838060570593
8	1600	100	300	DoubleOcc	4	chi32	0.10006892733917228	-1.9342364396268685e-6	0.011280331208951562	0.001993419715620319	32.02183418370346
8	1600	100	300	DoubleOcc	4	exact	0.10006892733917228	0.0	0.011280331208951562	0.0019934053328033515	32.022296273208255
8	1600	100	300	SzSz r=1	4	chi2	-0.06980259492960687	0.006095784422398456	0.003265290549740205	0.0012644039681425452	6.669172681720978
8	1600	100	300	SzSz r=1	4	chi4	-0.06980259492960687	-0.06980259492960687	0.003265290549740205	0.003244248096585318	1.0130142295195488
8	1600	100	300	SzSz r=1	4	chi8	-0.06980259492960687	6.105015250831847e-5	0.003265290549740205	0.0011634763028400567	7.876414779387388
8	1600	100	300	SzSz r=1	4	chi32	-0.06980259492960687	-9.515011272664964e-6	0.003265290549740205	0.0011638023776811826	7.872001760556924
8	1600	100	300	SzSz r=1	4	exact	-0.06980259492960687	0.0	0.003265290549740205	0.001163825855881749	7.8716841553567285
8	1600	100	300	hop r=1	2	chi2	0.39097164277893914	0.39097164277893914	0.03474041111283106	0.03474041111283106	1.0
8	1600	100	300	hop r=1	2	chi4	0.39097164277893914	0.13330368337695203	0.03474041111283106	0.014032070148338807	6.129519242623617
8	1600	100	300	hop r=1	2	chi8	0.39097164277893914	0.002717423348741199	0.03474041111283106	0.008020195486836825	18.762901512602802
8	1600	100	300	hop r=1	2	chi32	0.39097164277893914	1.466707797659339e-5	0.03474041111283106	0.00801714548702735	18.777180343308405
8	1600	100	300	hop r=1	2	exact	0.39097164277893914	0.0	0.03474041111283106	0.008017147528034398	18.777170782712847
8	1600	100	300	全エネルギー	84	chi2	-27.42078817670401	-11.420788176704013	0.33524053785579594	0.35215029273203574	0.9062686355270393
8	1600	100	300	全エネルギー	84	chi4	-27.42078817670401	-1.746749302948988	0.33524053785579594	0.13954009645941542	5.771849784337529
8	1600	100	300	全エネルギー	84	chi8	-27.42078817670401	-0.062093583695979504	0.33524053785579594	0.06133665464052238	29.87259057513681
8	1600	100	300	全エネルギー	84	chi32	-27.42078817670401	-5.645310469759579e-5	0.33524053785579594	0.06140708898565526	29.804101750608417
8	1600	100	300	全エネルギー	84	exact	-27.42078817670401	0.0	0.33524053785579594	0.06140726076338803	29.80393500570556
8	1600	100	300	構造因子 S(π)	248	chi2	1.1789191437712991	-0.24023506330364142	0.013372192196634375	0.006564189108347944	4.149951791066821
8	1600	100	300	構造因子 S(π)	248	chi4	1.1789191437712991	0.14086020357030038	0.013372192196634375	0.0036525034301360328	13.403677043099377
8	1600	100	300	構造因子 S(π)	248	chi8	1.1789191437712991	0.011085571348784296	0.013372192196634375	0.0025233983257048165	28.08235977037586
8	1600	100	300	構造因子 S(π)	248	chi32	1.1789191437712991	7.989320554813162e-5	0.013372192196634375	0.0025287209199106866	27.964265522228324
8	1600	100	300	構造因子 S(π)	248	exact	1.1789191437712991	0.0	0.013372192196634375	0.0025288138407722495	27.962210475025294
