L	site	observable	prior	true	prior_val	Delta	relerr	G	G_max
8	3	ZZ onsite	chi2	-0.6085992916412656	-0.9999999999999998	0.3914007083587342	0.6431172591463391	2.4956914586514274	35.57965023980085
8	3	ZZ onsite	chi4	-0.6085992916412656	-0.6620322656359949	0.05343297399472935	0.08779664177825731	30.357058438436784	35.57965023980085
8	3	ZZ onsite	chi8	-0.6085992916412656	-0.6070562979285312	-0.001542993712734364	0.0025353196001481225	35.48296571353264	35.57965023980085
8	3	ZZ onsite	chi32	-0.6085992916412656	-0.6086008936661427	1.6020248770898249e-6	2.6323147251280842e-6	35.579742912764694	35.57965023980085
8	3	ZZ onsite	exact	-0.6085992916412656	-0.6085992916412656	0.0	0.0	35.57965023980085	35.57965023980085
8	3	ZZ onsite	UHF	-0.6085992916412656	-0.594609378732458	-0.013989912908807578	0.0229870673544159	34.19486986157099	35.57965023980085
8	3	ZZ onsite	UHFsym	-0.6085992916412656	-0.5946093787324572	-0.013989912908808355	0.022987067354417176	34.194869861570865	35.57965023980085
8	3	SzSz r=1	chi2	-0.14785937463018686	-0.24999999999999994	0.10214062536981308	0.6907957349696522	2.5057546750138395	51.65999904856343
8	3	SzSz r=1	chi4	-0.14785937463018686	-0.19665105459044327	0.04879167996025641	0.3299870575152232	11.352496821240573	51.65999904856343
8	3	SzSz r=1	chi8	-0.14785937463018686	-0.1455916125543027	-0.0022677620758841666	0.015337289783323499	49.3812533128277	51.65999904856343
8	3	SzSz r=1	chi32	-0.14785937463018686	-0.1478588022944432	-5.723357436593357e-7	3.870811337399557e-6	51.66090463875602	51.65999904856343
8	3	SzSz r=1	exact	-0.14785937463018686	-0.14785937463018686	0.0	0.0	51.65999904856343	51.65999904856343
8	3	SzSz r=1	UHF	-0.14785937463018686	-0.1723599934398235	0.024500618809636637	0.1657021671498035	30.312186414972693	51.65999904856343
8	3	SzSz r=1	UHFsym	-0.14785937463018686	-0.07351685722306064	-0.07434251740712622	0.5027920454355047	3.59864915172342	51.65999904856343
