L	doping	site	prior	observable	true	Delta	prior_fid	G	G_max
16	0.0	2	exact	ZZ up-up r=1	-0.3246202548466486	0.0	NaN	9.423264657416125	9.423264657416125
16	0.0	2	UHF	ZZ up-up r=1	-0.3246202548466486	0.45234632192297697	NaN	0.5144981931003364	9.423264657416125
16	0.0	2	UHFsym	ZZ up-up r=1	-0.3246202548466486	0.060375179355255604	NaN	6.955262229013193	9.423264657416125
16	0.0	2	chi2	SzSz r=1	-0.06579499793592983	-0.06579499793592987	0.09698363280829767	0.9999999999999988	7.293761873888248
16	0.0	2	chi4	SzSz r=1	-0.06579499793592983	-0.06579499793592984	0.4016684908724763	1.0130756665414022	7.293761873888248
16	0.0	2	chi8	SzSz r=1	-0.06579499793592983	-0.0006096562391949834	0.9531835469652283	7.264016606417695	7.293761873888248
16	0.0	2	chi16	SzSz r=1	-0.06579499793592983	-1.4335396470527284e-5	0.9951061220758266	7.293741825139105	7.293761873888248
16	0.0	2	chi32	SzSz r=1	-0.06579499793592983	-1.3535442405510079e-6	0.9998374729774914	7.293738345702695	7.293761873888248
16	0.0	2	exact	SzSz r=1	-0.06579499793592983	0.0	NaN	7.293761873888248	7.293761873888248
16	0.0	2	UHF	SzSz r=1	-0.06579499793592983	0.10481144297926959	NaN	0.4510925208876538	7.293761873888248
16	0.0	2	UHFsym	SzSz r=1	-0.06579499793592983	0.006818657337337677	NaN	6.853543217121954	7.293761873888248
16	0.0	2	chi2	hop up r=1	0.37651192422886853	0.37651192422886853	0.09698363280829767	1.0	16.5242621631485
16	0.0	2	chi4	hop up r=1	0.37651192422886853	0.12765781177698393	0.4016684908724763	6.195139094202972	16.5242621631485
16	0.0	2	chi8	hop up r=1	0.37651192422886853	0.003593930333580575	0.9531835469652283	16.58289446415753	16.5242621631485
16	0.0	2	chi16	hop up r=1	0.37651192422886853	1.080426077532115e-5	0.9951061220758266	16.52451022384706	16.5242621631485
16	0.0	2	chi32	hop up r=1	0.37651192422886853	7.888494412189306e-6	0.9998374729774914	16.524443321528437	16.5242621631485
16	0.0	2	exact	hop up r=1	0.37651192422886853	0.0	NaN	16.5242621631485	16.5242621631485
16	0.0	2	UHF	hop up r=1	0.37651192422886853	-0.05832324709201919	NaN	11.270283099865903	16.5242621631485
16	0.0	2	UHFsym	hop up r=1	0.37651192422886853	-0.05832324709202219	NaN	11.270283099865562	16.5242621631485
16	0.0	3	chi2	n	1.000000000016988	1.6988521700511683e-11	0.09698363280829767	1.0000000240969986	1.0000000000320373
16	0.0	3	chi4	n	1.000000000016988	-4.98177099572672e-9	0.4016684908724763	0.9999999953216387	1.0000000000320373
16	0.0	3	chi8	n	1.000000000016988	-1.9442247811696234e-10	0.9531835469652283	0.99999999961041	1.0000000000320373
16	0.0	3	chi16	n	1.000000000016988	-2.101427920564447e-10	0.9951061220758266	0.9999999998238766	1.0000000000320373
16	0.0	3	chi32	n	1.000000000016988	2.227773521212839e-12	0.9998374729774914	1.0000000000412874	1.0000000000320373
16	0.0	3	exact	n	1.000000000016988	0.0	NaN	1.0000000000320373	1.0000000000320373
16	0.0	3	UHF	n	1.000000000016988	1.698530205374027e-11	NaN	0.0205798938515658	1.0000000000320373
16	0.0	3	UHFsym	n	1.000000000016988	1.698530205374027e-11	NaN	0.9999999999999981	1.0000000000320373
16	0.0	3	chi2	Sz	-9.937313472097031e-11	4.901752835552899e-8	0.09698363280829767	0.9999999456226406	0.9999999998792342
16	0.0	3	chi4	Sz	-9.937313472097031e-11	3.9292861325757045e-10	0.4016684908724763	0.9999999962911285	0.9999999998792342
16	0.0	3	chi8	Sz	-9.937313472097031e-11	-4.693455762927456e-10	0.9531835469652283	1.0000000002757852	0.9999999998792342
16	0.0	3	chi16	Sz	-9.937313472097031e-11	-2.7135516056375764e-12	0.9951061220758266	0.9999999997492317	0.9999999998792342
16	0.0	3	chi32	Sz	-9.937313472097031e-11	1.4388323865688335e-11	0.9998374729774914	0.9999999998647133	0.9999999998792342
16	0.0	3	exact	Sz	-9.937313472097031e-11	0.0	NaN	0.9999999998792342	0.9999999998792342
16	0.0	3	UHF	Sz	-9.937313472097031e-11	0.385555179660876	NaN	0.02836574796541051	0.9999999998792342
16	0.0	3	UHFsym	Sz	-9.937313472097031e-11	-9.937316247654593e-11	NaN	0.9999999999999983	0.9999999998792342
16	0.0	3	chi2	DoubleOcc	0.09729310249735976	0.09729310249735976	0.09698363280829767	2.410124890243456	30.32061448009834
16	0.0	3	chi4	DoubleOcc	0.09729310249735976	0.013228953723014664	0.4016684908724763	25.457491194041214	30.32061448009834
16	0.0	3	chi8	DoubleOcc	0.09729310249735976	-0.000594035337130927	0.9531835469652283	30.271030899030627	30.32061448009834
16	0.0	3	chi16	DoubleOcc	0.09729310249735976	0.00010006815731788965	0.9951061220758266	30.326361709659118	30.32061448009834
16	0.0	3	chi32	DoubleOcc	0.09729310249735976	2.7494965200991484e-6	0.9998374729774914	30.320782457175973	30.32061448009834
16	0.0	3	exact	DoubleOcc	0.09729310249735976	0.0	NaN	30.32061448009834	30.32061448009834
16	0.0	3	UHF	DoubleOcc	0.09729310249735976	-0.004054100862683624	NaN	1.2585161352549616	30.32061448009834
16	0.0	3	UHFsym	DoubleOcc	0.09729310249735976	-0.004054100862683763	NaN	29.476675329584992	30.32061448009834
16	0.0	3	chi2	ZZ onsite	-0.6108275900445349	0.38917240995546454	0.09698363280829767	2.403427262259715	59.12792856899276
16	0.0	3	chi4	ZZ onsite	-0.6108275900445349	0.05291582485560242	0.4016684908724763	41.15356847528445	59.12792856899276
16	0.0	3	chi8	ZZ onsite	-0.6108275900445349	-0.0023761409596765315	0.9531835469652283	59.07725207746351	59.12792856899276
16	0.0	3	chi16	ZZ onsite	-0.6108275900445349	0.0004002730495595852	0.9951061220758266	59.12623447126554	59.12792856899276
16	0.0	3	chi32	ZZ onsite	-0.6108275900445349	1.0997981627292042e-5	0.9998374729774914	59.127921461652825	59.12792856899276
16	0.0	3	exact	ZZ onsite	-0.6108275900445349	0.0	NaN	59.12792856899276	59.12792856899276
16	0.0	3	UHF	ZZ onsite	-0.6108275900445349	-0.0162164034847031	NaN	56.80878718631364	59.12792856899276
16	0.0	3	UHFsym	ZZ onsite	-0.6108275900445349	-0.016216403484703434	NaN	56.808787186313516	59.12792856899276
