W	LX	geometry	U	Hvar	state	kind	i	j	name	value
1	32	cylinder	8.0	5.629e-11	chi2	bond	17	18	Zb	-0.000000000001
1	32	cylinder	8.0	5.629e-11	chi2	bond	17	18	Zbc	1.000000000000
1	32	cylinder	8.0	5.629e-11	chi2	bond	17	18	Zbcd	0.000000000001
1	32	cylinder	8.0	5.629e-11	chi2	bond	17	18	Zbd	-1.000000000000
1	32	cylinder	8.0	5.629e-11	chi2	bond	17	18	Zc	-0.000000000001
1	32	cylinder	8.0	5.629e-11	chi2	bond	17	18	Zcd	-1.000000000000
1	32	cylinder	8.0	5.629e-11	chi2	bond	17	18	Zd	0.000000000001
1	32	cylinder	8.0	5.629e-11	chi2	bond	17	18	hopD	0.000000000000
1	32	cylinder	8.0	5.629e-11	chi2	bond	17	18	hopD_Za	0.000000000000
1	32	cylinder	8.0	5.629e-11	chi2	bond	17	18	hopD_Zc	0.000000000000
1	32	cylinder	8.0	5.629e-11	chi2	bond	17	18	hopU	0.000000000000
1	32	cylinder	8.0	5.629e-11	chi2	bond	17	18	hopU_Zb	0.000000000000
1	32	cylinder	8.0	5.629e-11	chi2	bond	17	18	hopU_Zd	0.000000000000
1	32	cylinder	8.0	5.629e-11	chi2	dist	16	17	FF	1.000000000000
1	32	cylinder	8.0	5.629e-11	chi2	dist	16	17	hopU	0.000000000000
1	32	cylinder	8.0	5.629e-11	chi2	dist	16	18	FF	1.000000000000
1	32	cylinder	8.0	5.629e-11	chi2	dist	16	18	hopU	0.000000000000
1	32	cylinder	8.0	5.629e-11	chi2	dist	16	19	FF	1.000000000000
1	32	cylinder	8.0	5.629e-11	chi2	dist	16	19	hopU	0.000000000000
1	32	cylinder	8.0	5.629e-11	chi2	dist	16	20	FF	1.000000000000
1	32	cylinder	8.0	5.629e-11	chi2	dist	16	20	hopU	0.000000000000
1	32	cylinder	8.0	5.629e-11	chi2	dist	16	21	FF	1.000000000000
1	32	cylinder	8.0	5.629e-11	chi2	dist	16	21	hopU	0.000000000000
1	32	cylinder	8.0	5.629e-11	chi2	dist	16	22	FF	1.000000000000
1	32	cylinder	8.0	5.629e-11	chi2	dist	16	22	hopU	0.000000000000
1	32	cylinder	8.0	5.629e-11	chi2	dist	16	23	FF	1.000000000000
1	32	cylinder	8.0	5.629e-11	chi2	dist	16	23	hopU	0.000000000000
1	32	cylinder	8.0	5.629e-11	chi2	dist	16	24	FF	1.000000000000
1	32	cylinder	8.0	5.629e-11	chi2	dist	16	24	hopU	0.000000000000
1	32	cylinder	8.0	5.629e-11	chi2	dist	16	25	FF	1.000000000000
1	32	cylinder	8.0	5.629e-11	chi2	dist	16	25	hopU	0.000000000000
1	32	cylinder	8.0	5.629e-11	chi2	dist	16	26	FF	1.000000000000
1	32	cylinder	8.0	5.629e-11	chi2	dist	16	26	hopU	0.000000000000
1	32	cylinder	8.0	5.629e-11	chi2	dist	16	27	FF	1.000000000000
1	32	cylinder	8.0	5.629e-11	chi2	dist	16	27	hopU	0.000000000000
1	32	cylinder	8.0	5.629e-11	chi2	dist	16	28	FF	1.000000000000
1	32	cylinder	8.0	5.629e-11	chi2	dist	16	28	hopU	0.000000000000
1	32	cylinder	8.0	5.629e-11	chi2	dist	16	29	FF	1.000000000000
1	32	cylinder	8.0	5.629e-11	chi2	dist	16	29	hopU	0.000000000000
1	32	cylinder	8.0	5.629e-11	chi2	dist	16	30	FF	1.000000000000
1	32	cylinder	8.0	5.629e-11	chi2	dist	16	30	hopU	0.000000000000
1	32	cylinder	8.0	5.629e-11	chi2	dist	16	31	FF	1.000000000000
1	32	cylinder	8.0	5.629e-11	chi2	dist	16	31	hopU	0.000000000000
1	32	cylinder	8.0	5.629e-11	chi4	bond	16	17	Za	-0.000000000005
1	32	cylinder	8.0	5.629e-11	chi4	bond	16	17	Zab	-0.917034402671
1	32	cylinder	8.0	5.629e-11	chi4	bond	16	17	Zabc	0.000000000000
1	32	cylinder	8.0	5.629e-11	chi4	bond	16	17	Zabcd	0.842140287659
1	32	cylinder	8.0	5.629e-11	chi4	bond	16	17	Zabd	0.000000000004
1	32	cylinder	8.0	5.629e-11	chi4	bond	16	17	Zac	-0.467833543460
1	32	cylinder	8.0	5.629e-11	chi4	bond	16	17	Zacd	0.000000000005
1	32	cylinder	8.0	5.629e-11	chi4	bond	16	17	Zad	0.467833543461
1	32	cylinder	8.0	5.629e-11	chi4	bond	16	17	Zb	-0.000000000004
1	32	cylinder	8.0	5.629e-11	chi4	bond	16	17	Zbc	0.467833543461
1	32	cylinder	8.0	5.629e-11	chi4	bond	16	17	Zbcd	0.000000000004
1	32	cylinder	8.0	5.629e-11	chi4	bond	16	17	Zbd	-0.467833543461
1	32	cylinder	8.0	5.629e-11	chi4	bond	16	17	Zc	-0.000000000002
