geometry	rho	U	site	observable	prior	true	Delta	relerr	G	G_max
cylinder	ED	8.0	7	SzSz nb	UHFsym	-0.093096959344451	-0.020952741764668215	0.22506365312259893	7.663762919027313	12.885804383971362
cylinder	ED	8.0	7	SxSx nb	chi4	-0.09309695934425592	0.03964421608177014	0.42583792597535775	4.289489377886512	13.12882160471692
cylinder	ED	8.0	7	SxSx nb	chi8	-0.09309695934425592	0.027897532221893492	0.29966104605772786	6.610411312789004	13.12882160471692
cylinder	ED	8.0	7	SxSx nb	chi32	-0.09309695934425592	0.009054153940488044	0.09725509838626845	12.11708174759363	13.12882160471692
cylinder	ED	8.0	7	SxSx nb	chi128	-0.09309695934425592	0.0006778921209675132	0.00728157101738188	13.145374126930294	13.12882160471692
cylinder	ED	8.0	7	SxSx nb	exact	-0.09309695934425592	1.0023594299024552e-7	1.0766833170092152e-6	13.12882160471692	13.12882160471692
cylinder	ED	8.0	7	SxSx nb	UHF	-0.09309695934425592	-0.08739173081478759	0.9387173483467766	1.1072407141292704	13.12882160471692
cylinder	ED	8.0	7	SxSx nb	UHFsym	-0.09309695934425592	-0.020855323891965344	0.22401724007812202	7.864978243293814	13.12882160471692
cylinder	DMRG	8.0	7	n	chi4	1.000000000088546	6.64848176512578e-11	6.648481764537083e-11	1.000000009771912	1.0000000067548311
cylinder	DMRG	8.0	7	n	chi8	1.000000000088546	1.496092139063876e-10	1.496092138931403e-10	1.0000000058460232	1.0000000067548311
cylinder	DMRG	8.0	7	n	chi32	1.000000000088546	1.7766677018471455e-11	1.7766677016898287e-11	1.0000000067534365	1.0000000067548311
cylinder	DMRG	8.0	7	n	chi128	1.000000000088546	-1.3221979067168377e-10	1.3221979065997622e-10	1.0000000063286139	1.0000000067548311
cylinder	DMRG	8.0	7	n	exact	1.000000000088546	0.0	0.0	1.0000000067548311	1.0000000067548311
cylinder	DMRG	8.0	7	n	UHF	1.000000000088546	8.854628141818921e-11	8.854628141034879e-11	0.014887572633485138	1.0000000067548311
cylinder	DMRG	8.0	7	n	UHFsym	1.000000000088546	8.85519435556148e-11	8.855194354777388e-11	1.0000000000000346	1.0000000067548311
cylinder	DMRG	8.0	7	Sz	chi4	1.1337196043070819e-9	-5.3471325978105e-10	NaN	0.999999998682263	0.9999999990523974
cylinder	DMRG	8.0	7	Sz	chi8	1.1337196043070819e-9	1.1574457191299015e-10	NaN	0.9999999992488725	0.9999999990523974
cylinder	DMRG	8.0	7	Sz	chi32	1.1337196043070819e-9	-4.507907935824562e-12	NaN	0.9999999990614843	0.9999999990523974
cylinder	DMRG	8.0	7	Sz	chi128	1.1337196043070819e-9	1.0835377386997358e-10	NaN	0.9999999990431537	0.9999999990523974
cylinder	DMRG	8.0	7	Sz	exact	1.1337196043070819e-9	0.0	NaN	0.9999999990523974	0.9999999990523974
cylinder	DMRG	8.0	7	Sz	UHF	1.1337196043070819e-9	-0.4466674399182996	NaN	0.03021809228191421	0.9999999990523974
cylinder	DMRG	8.0	7	Sz	UHFsym	1.1337196043070819e-9	1.1337195626737184e-9	NaN	1.0	0.9999999990523974
