L	chi_prior	observable	pure	true	Delta	prior_fid	G_emp	G_theo
16	2	ZZ up-up r=1	true	-0.39780208635754033	-0.05589421485249524	0.09698054629499579	11.576117611546527	13.317269331030975
16	4	ZZ up-up r=1	true	-0.39780208635754033	-0.3369403102457142	0.4016670142122413	1.3479604872664157	1.3635631931083871
16	8	ZZ up-up r=1	true	-0.39780208635754033	-0.004365413937695073	0.9531865780662307	16.15652545881273	17.675208101102516
16	16	ZZ up-up r=1	true	-0.39780208635754033	-0.0024312198713044575	0.9951082079663102	16.24626086336256	17.699729769002644
16	32	ZZ up-up r=1	true	-0.39780208635754033	-0.0001261953314724007	0.9998430857870075	16.33993063217149	17.71074783191948
16	2	ZZ up-up r=2	true	0.1283913253766999	-0.2135165461283452	0.09698054629499579	0.7794943862504169	0.48626660953379697
16	4	ZZ up-up r=2	true	0.1283913253766999	0.18083395968495633	0.4016670142122413	0.6655840813278495	0.6294661587083702
16	8	ZZ up-up r=2	true	0.1283913253766999	0.021539770002961617	0.9531865780662307	2.3501003009225307	2.389630285104216
16	16	ZZ up-up r=2	true	0.1283913253766999	0.0037850323629990135	0.9951082079663102	2.574358193174405	2.4866132078708967
16	32	ZZ up-up r=2	true	0.1283913253766999	0.00013984537001876518	0.9998430857870075	2.6116824851075386	2.4898284938560984
16	2	ZZ up-up r=4	true	0.08067412582155353	-0.036514726690829724	0.09698054629499579	1.4377916058741274	1.4136646812837106
16	4	ZZ up-up r=4	true	0.08067412582155353	0.08436341842123177	0.4016670142122413	0.9664812731258234	0.9667173465950906
16	8	ZZ up-up r=4	true	0.08067412582155353	0.00459030961803833	0.9531865780662307	1.5966221523744872	1.579329267879454
16	16	ZZ up-up r=4	true	0.08067412582155353	-0.0012481926166183488	0.9951082079663102	1.6011199060468195	1.5820861518657001
16	32	ZZ up-up r=4	true	0.08067412582155353	0.00047820760840930343	0.9998430857870075	1.60081040098552	1.5822743122699519
16	2	ZZ up-up r=8	true	0.04673352670016363	0.035120362661764375	0.09698054629499579	1.0927069724201353	1.0762976636983397
16	4	ZZ up-up r=8	true	0.04673352670016363	0.04674557310448712	0.4016670142122413	0.9999003066093032	0.999916029942742
16	8	ZZ up-up r=8	true	0.04673352670016363	0.0185325797036954	0.9531865780662307	1.2004150211951747	1.1590962143156895
16	16	ZZ up-up r=8	true	0.04673352670016363	0.00816057869425154	0.9951082079663102	1.2421485752053103	1.1875153050355791
16	32	ZZ up-up r=8	true	0.04673352670016363	5.0302190026704774e-5	0.9998430857870075	1.2567691890204766	1.194559989640884
16	2	DoubleOcc(i0)	false	0.10035720407424081	0.10035720407424081	0.09698054629499579	2.370796966550528	NaN
16	4	DoubleOcc(i0)	false	0.10035720407424081	0.035430930746104594	0.4016670142122413	11.636145521471112	NaN
16	8	DoubleOcc(i0)	false	0.10035720407424081	-0.0005940302932085362	0.9531865780662307	21.421744471901015	NaN
16	16	DoubleOcc(i0)	false	0.10035720407424081	0.0003961619074588363	0.9951082079663102	21.571518483041384	NaN
16	32	DoubleOcc(i0)	false	0.10035720407424081	-2.137388155715181e-6	0.9998430857870075	21.515417601569524	NaN
16	2	SzSz r=1	false	-0.08155350863980432	0.003923459236456955	0.09698054629499579	13.857875075503609	NaN
