config	t_L	t_S	U	nu	nm	observable	true	prior	Delta	sd_std	sd_crm_old	sd_crm_new	G_emp	G_theo	HF_fid	gap
weak	1.0	0.5	1.0	50	10	Sz1*Sz3	0.013467670367238024	0.007885547230139263	0.005582123137098761	0.018689372836860414	0.02454739797154409	0.01861070649828848	1.0084717468972308	NaN	0.8854668941100827	0.37265054227260297
weak	1.0	0.5	1.0	50	10	Fidelity	0.8854668941100827	1.0	-0.11453310588991727	0.3688777594533391	0.11839080904892933	0.08207852781683751	20.197881795731607	NaN	0.8854668941100827	0.37265054227260297
weak	1.0	0.5	1.0	50	100	Z(1u)  |A|=1	5.113097445441641e-16	-0.1722096309415708	0.1722096309415713	0.025068065251977207	0.04398003928234242	0.03990984889570046	0.39453130227533206	0.33589992985030226	0.8854668941100827	0.37265054227260297
weak	1.0	0.5	1.0	50	100	ZZ(1u,1d) |A|=2	-0.2433427217882285	-0.0296561569890319	-0.2136865647991966	0.10234992957702564	0.09888320657580622	0.0920271078473673	1.2369255179662864	1.2409733548424204	0.8854668941100827	0.37265054227260297
weak	1.0	0.5	1.0	50	100	ZZZZ(1,3) |A|=4	0.06642987378663961	0.0004181538041516987	0.06601171998248792	0.14686570319128067	0.2222155729654016	0.14658523335032464	1.0038303743694597	1.0038358130763372	0.8854668941100827	0.37265054227260297
weak	1.0	0.5	1.0	50	100	DoubleOcc site1	0.18916431955294266	0.2425859607527422	-0.05342164119979953	0.025920033457195044	0.028629113621166623	0.025243038972514394	1.0543573744860701	NaN	0.8854668941100827	0.37265054227260297
weak	1.0	0.5	1.0	50	100	Sz1*Sz3	0.013467670367238024	0.007885547230139263	0.005582123137098761	0.006529725589092104	0.008248538792480477	0.005845974317233648	1.2476019785969288	NaN	0.8854668941100827	0.37265054227260297
weak	1.0	0.5	1.0	50	100	Fidelity	0.8854668941100827	1.0	-0.11453310588991727	0.3374833347485677	0.048120472796077736	0.03939224365662983	73.39783140601294	NaN	0.8854668941100827	0.37265054227260297
weak	1.0	0.5	1.0	50	1000	Z(1u)  |A|=1	5.113097445441641e-16	-0.1722096309415708	0.1722096309415713	0.008032636221273598	0.0383362676598864	0.03779670584769154	0.04516565335049589	0.04814457702623724	0.8854668941100827	0.37265054227260297
weak	1.0	0.5	1.0	50	1000	ZZ(1u,1d) |A|=2	-0.2433427217882285	-0.0296561569890319	-0.2136865647991966	0.10688975712072056	0.09545421048932679	0.09387572158703993	1.2964793503291245	1.2901035196951804	0.8854668941100827	0.37265054227260297
