U	doping	observable	chi_prior	true	absDelta	discarded_w	sens_s	alpha
4.0	0.125	SzSz r=1	64	-0.080638824578304	0.00028699434841338023	0.00040451515679484906	0.11885655461102389	0.7911239767325182
4.0	0.125	SzSz r=1	128	-0.080638824578304	4.166877965004756e-5	3.4812756293023384e-5	0.11885655461102389	0.7911239767325182
4.0	0.125	hop up r=1	2	0.5059601562657664	0.5059601562638736	0.40617262357283235	0.8114685984218644	0.8709744067326071
4.0	0.125	hop up r=1	4	0.5059601562657664	0.2380759321540254	0.25555025074888094	0.8114685984218644	0.8709744067326071
4.0	0.125	hop up r=1	8	0.5059601562657664	0.07170645845374274	0.05629885972780402	0.8114685984218644	0.8709744067326071
4.0	0.125	hop up r=1	16	0.5059601562657664	0.013743392733871096	0.01666189404718499	0.8114685984218644	0.8709744067326071
4.0	0.125	hop up r=1	32	0.5059601562657664	0.005891088060017258	0.003579103315949128	0.8114685984218644	0.8709744067326071
4.0	0.125	hop up r=1	64	0.5059601562657664	0.000927245346657557	0.00040451515679484906	0.8114685984218644	0.8709744067326071
4.0	0.125	hop up r=1	128	0.5059601562657664	0.00012306418185636936	3.4812756293023384e-5	0.8114685984218644	0.8709744067326071
8.0	0.0	n	2	1.0000000000005478	5.511147094239277e-13	0.18530490847353231	5.1907191476143597e-11	0.19917863970177327
8.0	0.0	n	4	1.0000000000005478	1.2907852564580935e-10	0.04247323248698254	5.1907191476143597e-11	0.19917863970177327
8.0	0.0	n	8	1.0000000000005478	1.1389178489196183e-10	0.0066445279520820355	5.1907191476143597e-11	0.19917863970177327
8.0	0.0	n	16	1.0000000000005478	2.8029134568896552e-11	0.0004486212367897924	5.1907191476143597e-11	0.19917863970177327
8.0	0.0	n	32	1.0000000000005478	2.407785082425562e-11	6.18704900271494e-5	5.1907191476143597e-11	0.19917863970177327
8.0	0.0	n	64	1.0000000000005478	8.12039324671332e-12	1.225202845289708e-6	5.1907191476143597e-11	0.19917863970177327
8.0	0.0	n	128	1.0000000000005478	1.8895995879120164e-13	1.70220024742207e-8	5.1907191476143597e-11	0.19917863970177327
