U	doping	L	chi_prior	observable	prior_fid	S_center	median_absDelta	mean_absDelta	max_absDelta	median_absP	median_relerr	max_relerr	n_relerr
4.0	0.0	128	16	ZZ onsite	0.8160042635072002	1.4378321340992708	0.0017638386971657316	0.0017167840908900766	0.0023018853770675474	0.5990358614265936	0.0029426079373663983	0.003840490113499623	128
4.0	0.0	128	16	n	0.8160042635072002	1.4378321340992708	7.2268169781786185e-9	1.0222028945516826e-8	3.1758701113382415e-8	1.0000000000059748	7.226816981117942e-9	3.175870116400879e-8	128
4.0	0.0	128	32	SzSz r=1	0.9628429860292504	1.4378321340992708	0.00018060776211428764	0.00021520520493870318	0.0005070501332545274	0.11438894662026988	0.0015940142936283358	0.005107458276027641	127
4.0	0.0	128	32	hop up r=1	0.9628429860292504	1.4378321340992708	0.0009046940382729796	0.0007149153140462598	0.0012927519295645173	0.5066114884980689	0.0018391663614973684	0.0027624075787452537	127
4.0	0.0	128	32	DoubleOcc	0.9628429860292504	1.4378321340992708	6.775476727856333e-5	9.866562989046244e-5	0.00020663557950137412	0.10024103472932827	0.0006756633543959689	0.002061320216936527	128
4.0	0.0	128	32	ZZ up-up r=1	0.9628429860292504	1.4378321340992708	0.00048555902533908846	0.0009400343859835853	0.0022953784677469113	0.5488074297127792	0.0008818169789648634	0.004788764727663836	127
4.0	0.0	128	32	Sz	0.9628429860292504	1.4378321340992708	6.063686212726127e-7	8.14125721792429e-7	2.6239622359508497e-6	3.2823536135744708e-6	NaN	NaN	0
4.0	0.0	128	32	ZZ onsite	0.9628429860292504	1.4378321340992708	0.00027097226759997817	0.000394662479330659	0.000826449526668771	0.5990358614265936	0.00045246167164368536	0.0013796628030683078	128
4.0	0.0	128	32	n	0.9628429860292504	1.4378321340992708	1.0175861042682754e-8	1.8436096620687292e-8	6.12169070990376e-8	1.0000000000059748	1.0175861038920545e-8	6.121690719662315e-8	128
8.0	0.0	8	4	SzSz r=1	0.8989015788548055	0.8748160102033097	0.007498781854379383	0.006510073318310944	0.008712940901648869	0.178673106607933	0.04644547437837114	0.059606329041195984	7
8.0	0.0	8	4	hop up r=1	0.8989015788548055	0.8748160102033097	0.014850665042274336	0.1100688329310159	0.24940085705279913	0.3758117643674437	0.03951623246087194	1.0	7
8.0	0.0	8	4	DoubleOcc	0.8989015788548055	0.8748160102033097	0.013989265343091292	0.010999843307904662	0.015318968646352127	0.03653936271188331	0.3802228973439564	0.4152000094316893	8
8.0	0.0	8	4	ZZ up-up r=1	0.8989015788548055	0.8748160102033097	0.03527816138957862	0.03784561248421646	0.04758002683443374	0.7576153234051547	0.04656474107069217	0.133478384590552	7
8.0	0.0	8	4	Sz	0.8989015788548055	0.8748160102033097	3.6373612455342652e-12	1.410108618413175e-11	4.895350791400688e-11	1.084752079827389e-12	NaN	NaN	0
8.0	0.0	8	4	ZZ onsite	0.8989015788548055	0.8748160102033097	0.055957061447195644	0.04399937323161772	0.06127587460526407	0.8538425491627205	0.06561737192107314	0.07188473802539051	8
8.0	0.0	8	4	n	0.8989015788548055	0.8748160102033097	2.2558288570451168e-11	2.26675622716499e-11	4.989486601658655e-11	0.9999999999973073	2.2558288570583485e-11	4.9894866017019396e-11	8
8.0	0.0	8	8	SzSz r=1	0.9968247838609527	0.8748160102033097	0.0004409543883157896	0.0005875987645819837	0.0015031108366772572	0.178673106607933	0.002150592603511604	0.008412630558753154	7
8.0	0.0	8	8	hop up r=1	0.9968247838609527	0.8748160102033097	0.001982303211179648	0.0018294697613409627	0.0034344240161066075	0.3758117643674437	0.007948261423816947	0.011366743787576723	7
8.0	0.0	8	8	DoubleOcc	0.9968247838609527	0.8748160102033097	5.8430314544596906e-5	6.940345465874381e-5	0.00014827042406731494	0.03653936271188331	0.0016784799798982629	0.0040186701136599905	8
8.0	0.0	8	8	ZZ up-up r=1	0.9968247838609527	0.8748160102033097	0.0019840134606433635	0.002433767187136377	0.006143913380910249	0.7576153234051547	0.002286845804130885	0.00810954212107435	7
8.0	0.0	8	8	Sz	0.9968247838609527	0.8748160102033097	5.602355385159186e-12	6.727073433888953e-12	1.6513648955218674e-11	1.084752079827389e-12	NaN	NaN	0
8.0	0.0	8	8	ZZ onsite	0.9968247838609527	0.8748160102033097	0.00023372123722342764	0.0002776138209641954	0.0005930816803219052	0.8538425491627205	0.00027262174176564155	0.0006957635691410599	8
8.0	0.0	8	8	n	0.9968247838609527	0.8748160102033097	9.313605442429207e-12	1.1729284210559854e-11	2.38545849740035e-11	0.9999999999973073	9.313605442369036e-12	2.3854584974534632e-11	8
8.0	0.0	8	16	SzSz r=1	0.9999558018337285	0.8748160102033097	5.239250381761096e-6	7.956384184739016e-6	1.8343754972255377e-5	0.178673106607933	2.5707537055007236e-5	0.00020284099690536978	7
8.0	0.0	8	16	hop up r=1	0.9999558018337285	0.8748160102033097	1.825281535292045e-5	5.449438713364674e-5	0.00014624181866601527	0.3758117643674437	7.675520667508166e-5	0.00038913581886444027	7
8.0	0.0	8	16	DoubleOcc	0.9999558018337285	0.8748160102033097	5.098686039484157e-6	5.1643774270672405e-6	9.951545921149663e-6	0.03653936271188331	0.00013859061765418844	0.00026972324658173233	8
8.0	0.0	8	16	ZZ up-up r=1	0.9999558018337285	0.8748160102033097	2.1625465500663132e-5	7.866413103490328e-5	0.00018912221635569715	0.7576153234051547	2.4926295113514123e-5	0.00048626199636931365	7
8.0	0.0	8	16	Sz	0.9999558018337285	0.8748160102033097	1.3681104860108206e-12	4.238749976015477e-12	1.4350586691191936e-11	1.084752079827389e-12	NaN	NaN	0
8.0	0.0	8	16	ZZ onsite	0.9999558018337285	0.8748160102033097	2.0394786181987534e-5	2.0657509707325272e-5	3.9806186181601255e-5	0.8538425491627205	2.3915392906245435e-5	4.6697942447940005e-5	8
8.0	0.0	8	16	n	0.9999558018337285	0.8748160102033097	6.737332913786531e-12	1.2253850711907432e-11	3.395861369881459e-11	0.9999999999973073	6.737332913869125e-12	3.3958613698059023e-11	8
8.0	0.0	8	32	SzSz r=1	0.9999994651935673	0.8748160102033097	6.265252837367452e-8	2.0103928514980662e-7	9.58268202205792e-7	0.178673106607933	6.52626159226565e-7	1.059630799321785e-5	7
8.0	0.0	8	32	hop up r=1	0.9999994651935673	0.8748160102033097	1.556286446380284e-7	4.40882464119996e-7	1.9118714638388656e-6	0.3758117643674437	3.813857052611994e-7	7.665857633496884e-6	7
8.0	0.0	8	32	DoubleOcc	0.9999994651935673	0.8748160102033097	3.497328145141143e-8	3.65222772476248e-8	7.192432927016768e-8	0.03653936271188331	9.431242310594694e-7	1.9877753099292307e-6	8
8.0	0.0	8	32	ZZ up-up r=1	0.9999994651935673	0.8748160102033097	3.5087177296944105e-7	7.548955339244299e-7	3.031670186837143e-6	0.7576153234051547	6.659360233874119e-7	7.794885369850683e-6	7
8.0	0.0	8	32	Sz	0.9999994651935673	0.8748160102033097	9.471746303946205e-13	3.950384290518638e-12	1.4937918957347307e-11	1.084752079827389e-12	NaN	NaN	0
8.0	0.0	8	32	ZZ onsite	0.9999994651935673	0.8748160102033097	1.398878748393173e-7	1.4608857000497633e-7	2.8769589510702076e-7	0.8538425491627205	1.642529308571167e-7	3.3638150689494236e-7	8
8.0	0.0	8	32	n	0.9999994651935673	0.8748160102033097	2.6664226382422385e-12	2.843877910940762e-12	5.70810065880778e-12	0.9999999999973073	2.6664226382792903e-12	5.708100658680777e-12	8
8.0	0.0	16	4	SzSz r=1	0.7414529583305992	0.9689924948767649	0.0066022578915651	0.006474198810052789	0.010296839431808036	0.16236577100782867	0.045054478090456485	0.07021432440683782	15
8.0	0.0	16	4	hop up r=1	0.7414529583305992	0.9689924948767649	0.021807590581374603	0.12916411039970577	0.26916224568903246	0.3525235657598678	0.06138795132279613	1.0	15
8.0	0.0	16	4	DoubleOcc	0.7414529583305992	0.9689924948767649	0.016194176129637944	0.014007651756322886	0.016990442630762076	0.036648695072333703	0.44067249487591875	0.462941512387218	16
8.0	0.0	16	4	ZZ up-up r=1	0.7414529583305992	0.9689924948767649	0.040493853659337775	0.03944525579656196	0.05277167797053389	0.689474769741161	0.05698951439849211	0.1429171541556847	15
8.0	0.0	16	4	Sz	0.7414529583305992	0.9689924948767649	1.3083828291626798e-10	1.0920892089412958e-9	4.748713252483716e-9	8.688705813858499e-10	NaN	NaN	0
8.0	0.0	16	4	ZZ onsite	0.7414529583305992	0.9689924948767649	0.06477670653337042	0.05603060702529121	0.06796177051748564	0.8534052197136276	0.07594055608240399	0.07965554050924527	16
8.0	0.0	16	4	n	0.7414529583305992	0.9689924948767649	1.5940415654114304e-11	2.6874213271410596e-10	1.9716693833160548e-9	0.9999999999991125	1.594041565329089e-11	1.971669383317768e-9	16
8.0	0.0	16	8	SzSz r=1	0.9776044899066445	0.9689924948767649	0.00027053395918832934	0.0006702417699170312	0.0022992268909842184	0.16236577100782867	0.002264741134770033	0.01416078571572031	15
8.0	0.0	16	8	hop up r=1	0.9776044899066445	0.9689924948767649	0.005044898302960399	0.006357887423502521	0.014525107223841649	0.3525235657598678	0.018253260049196734	0.054626130341774146	15
8.0	0.0	16	8	DoubleOcc	0.9776044899066445	0.9689924948767649	0.00044105691725315754	0.0005097154214888742	0.0014831438689874576	0.036648695072333703	0.012104599753436987	0.040411476070302176	16
8.0	0.0	16	8	ZZ up-up r=1	0.9776044899066445	0.9689924948767649	0.0011937192049469303	0.0025208963990381787	0.008473903386155057	0.689474769741161	0.0023681419228533786	0.012290374871601334	15
8.0	0.0	16	8	Sz	0.9776044899066445	0.9689924948767649	1.0674093726958933e-10	3.2928020553268933e-10	1.400727801109669e-9	8.688705813858499e-10	NaN	NaN	0
8.0	0.0	16	8	ZZ onsite	0.9776044899066445	0.9689924948767649	0.0017642278926103816	0.0020388616857159245	0.005932575355055758	0.8534052197136276	0.0020652325020298432	0.006953357643871419	16
8.0	0.0	16	8	n	0.9776044899066445	0.9689924948767649	1.100225466288407e-11	4.2362738317258675e-11	2.3546309346755834e-10	0.9999999999991125	1.100225466251329e-11	2.354630934677629e-10	16
8.0	0.0	16	16	SzSz r=1	0.9995143457464523	0.9689924948767649	3.271530134116296e-5	4.337034907693123e-5	0.00010768899789112552	0.16236577100782867	0.00019815406062795228	0.0010334270149757827	15
8.0	0.0	16	16	hop up r=1	0.9995143457464523	0.9689924948767649	0.00019340565923775532	0.00018016315561308522	0.0003358235394890219	0.3525235657598678	0.0006402175824297756	0.0011355463709045925	15
8.0	0.0	16	16	DoubleOcc	0.9995143457464523	0.9689924948767649	1.8488275694811263e-5	1.7406195846270817e-5	3.304452606728292e-5	0.036648695072333703	0.0005041568251885067	0.0009029463559143281	16
8.0	0.0	16	16	ZZ up-up r=1	0.9995143457464523	0.9689924948767649	0.0003256950681167492	0.0002774323411312933	0.0005918902745010168	0.689474769741161	0.00046467978378492104	0.0013256625900175617	15
8.0	0.0	16	16	Sz	0.9995143457464523	0.9689924948767649	1.5727393345987828e-11	1.0790943773307873e-10	4.519627285273775e-10	8.688705813858499e-10	NaN	NaN	0
8.0	0.0	16	16	ZZ onsite	0.9995143457464523	0.9689924948767649	7.395307360241743e-5	6.962478310994225e-5	0.00013217811193366735	0.8534052197136276	8.66669955844452e-5	0.00015484517459898672	16
8.0	0.0	16	16	n	0.9995143457464523	0.9689924948767649	6.36346531024401e-12	1.3726970948813033e-11	6.959222087488115e-11	0.9999999999991125	6.363465310413535e-12	6.959222087494161e-11	16
8.0	0.0	16	32	SzSz r=1	0.9999771768849031	0.9689924948767649	1.5141690015707532e-6	2.2622894929944886e-6	6.59161318374013e-6	0.16236577100782867	7.464133745922826e-6	6.325577607505011e-5	15
8.0	0.0	16	32	hop up r=1	0.9999771768849031	0.9689924948767649	4.7852388537772406e-6	7.107145259901045e-6	2.4014621424095495e-5	0.3525235657598678	1.6045455270746066e-5	6.812203139230761e-5	15
8.0	0.0	16	32	DoubleOcc	0.9999771768849031	0.9689924948767649	3.09450512769871e-7	6.794361492173939e-7	2.0672804536825407e-6	0.036648695072333703	8.439871292647489e-6	5.632754605366062e-5	16
8.0	0.0	16	32	ZZ up-up r=1	0.9999771768849031	0.9689924948767649	6.095531167815693e-6	9.730240598800528e-6	2.6447665566642353e-5	0.689474769741161	7.258770689448681e-6	5.923510208805291e-5	15
8.0	0.0	16	32	Sz	0.9999771768849031	0.9689924948767649	3.127622986986989e-11	4.5332079940969133e-11	1.2051440054228202e-10	8.688705813858499e-10	NaN	NaN	0
