B	n_u	n_m	observable	pure	absA	prior	true	Delta	sd_std	sd_crm	G_emp	G_max	sd_std_theory	sd_crm_theory	nm_star
5000	50	100	ZZ up-up r=1	true	2	exact	-0.43615457682117426	0.0	0.18413023809372303	0.03638939354447674	25.60357406931192	25.60357406931192	0.17859035504287882	0.03817832543750834	NaN
5000	50	100	SzSz r=1	false	0	chi2	-0.0898879388012332	0.0012231321666550249	0.02373635355176128	0.0060852109515358715	15.21516715497526	18.27210375553207	NaN	NaN	NaN
5000	50	100	SzSz r=1	false	0	chi4	-0.0898879388012332	-0.013452665049220033	0.02373635355176128	0.007368698710221791	10.376392836702138	18.27210375553207	NaN	NaN	NaN
5000	50	100	SzSz r=1	false	0	chi8	-0.0898879388012332	-0.0022027891418965467	0.02373635355176128	0.005567813140158526	18.17434220293082	18.27210375553207	NaN	NaN	NaN
5000	50	100	SzSz r=1	false	0	chi32	-0.0898879388012332	-9.11205247974417e-5	0.02373635355176128	0.005551910785674043	18.27860495369387	18.27210375553207	NaN	NaN	NaN
5000	50	100	SzSz r=1	false	0	exact	-0.0898879388012332	0.0	0.02373635355176128	0.005552898380279693	18.27210375553207	18.27210375553207	NaN	NaN	NaN
5000	50	100	hop up r=1	false	0	chi2	0.4440883514173588	0.4440883514173588	0.22143574583065606	0.22143574583065606	1.0	24.449243068118612	NaN	NaN	NaN
5000	50	100	hop up r=1	false	0	chi4	0.4440883514173588	0.4440883514173588	0.22143574583065606	0.22143574583065606	1.0	24.449243068118612	NaN	NaN	NaN
5000	50	100	hop up r=1	false	0	chi8	0.4440883514173588	0.010882164287152052	0.22143574583065606	0.04530854708400643	23.885546752771358	24.449243068118612	NaN	NaN	NaN
5000	50	100	hop up r=1	false	0	chi32	0.4440883514173588	0.00036244009992458803	0.22143574583065606	0.04479081011636192	24.440924174990116	24.449243068118612	NaN	NaN	NaN
5000	50	100	hop up r=1	false	0	exact	0.4440883514173588	0.0	0.22143574583065606	0.04478318939652752	24.449243068118612	24.449243068118612	NaN	NaN	NaN
